Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,1166,481,1647,29.20461445
2017 Q2,1189,496,1685,29.43620178
2017 Q3,1017,417,1434,29.07949791
2017 Q4,868,400,1268,31.54574132
2018 Q1,959,503,1462,34.40492476
2018 Q2,959,401,1360,29.48529412
2018 Q3,905,426,1331,32.00601052
2018 Q4,836,420,1256,33.43949045
2019 Q1,952,402,1354,29.68980798
2019 Q2,1084,514,1598,32.16520651
2019 Q3,982,424,1406,30.15647226
2019 Q4,981,536,1517,35.33289387
2020 Q1,873,472,1345,35.0929368
2020 Q2,431,177,608,29.11184211
2020 Q3,731,237,968,24.48347107
2020 Q4,679,283,962,29.41787942
2021 Q1,699,255,954,26.72955975
2021 Q2,781,341,1122,30.39215686
2021 Q3,727,385,1112,34.62230216
2021 Q4,624,404,1028,39.29961089
2022 Q1,683,366,1049,34.89037178
2022 Q2,760,439,1199,36.61384487
2022 Q3,793,466,1259,37.01350278
2022 Q4,748,422,1170,36.06837607
2023 Q1,798,475,1273,37.31343284
2023 Q2,720,457,1177,38.82752761
2023 Q3,679,433,1112,38.93884892
2023 Q4,646,382,1028,37.15953307
2024 Q1,676,442,1118,39.53488372
2024 Q2,737,421,1158,36.35578584
2024 Q3,702,457,1159,39.43054357
2024 Q4,446,291,737,39.4843962
2025 Q1,417,317,734,43.1880109
2025 Q2,742,492,1234,39.87034036
2025 Q3,739,446,1185,37.6371308
2025 Q4,685,434,1119,38.78462913
