Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,66,190,69,96,88,15,34,17,575,22.26086957,33.04347826,44.69565217
2017 Q2,61,223,45,93,101,14,34,11,582,20.27491409,38.3161512,41.40893471
2017 Q3,55,171,53,93,85,8,23,8,496,21.97580645,34.47580645,43.5483871
2017 Q4,58,130,44,87,86,11,26,7,449,23.38530067,28.9532294,47.66146993
2018 Q1,79,184,56,84,108,11,27,13,562,19.21708185,32.74021352,48.04270463
2018 Q2,45,137,54,88,76,9,22,12,443,24.60496614,30.9255079,44.46952596
2018 Q3,56,123,45,97,72,7,26,11,437,26.31578947,28.14645309,45.53775744
2018 Q4,76,105,59,64,76,10,17,14,421,20.90261283,24.94061758,54.1567696
2019 Q1,65,143,64,86,71,8,25,8,470,21.70212766,30.42553191,47.87234043
2019 Q2,68,121,74,102,121,14,18,8,526,23.57414449,23.00380228,53.42205323
2019 Q3,45,123,38,84,84,15,26,9,424,25.47169811,29.00943396,45.51886792
2019 Q4,64,104,64,109,92,20,17,12,482,29.25311203,21.57676349,49.17012448
2020 Q1,52,113,48,82,74,22,28,9,428,26.40186916,26.40186916,47.19626168
2020 Q2,16,43,22,36,30,4,3,9,163,30.06134969,26.3803681,43.55828221
2020 Q3,20,103,20,58,61,14,8,5,289,26.64359862,35.64013841,37.71626298
2020 Q4,16,68,17,64,71,9,6,13,264,32.57575758,25.75757576,41.66666667
2021 Q1,19,105,22,73,72,17,7,12,327,31.19266055,32.11009174,36.69724771
2021 Q2,16,106,19,107,86,11,17,10,372,34.40860215,28.49462366,37.09677419
2021 Q3,17,98,15,84,76,8,19,17,334,32.63473054,29.34131737,38.0239521
2021 Q4,29,79,26,81,99,14,17,11,356,29.7752809,22.19101124,48.03370787
2022 Q1,16,104,23,93,103,12,14,11,376,30.85106383,27.65957447,41.4893617
2022 Q2,38,111,28,82,100,9,16,13,397,26.19647355,27.95969773,45.84382872
2022 Q3,35,116,22,84,115,15,14,8,409,26.16136919,28.36185819,45.47677262
2022 Q4,26,104,23,75,98,14,18,10,368,26.90217391,28.26086957,44.83695652
2023 Q1,28,117,28,79,100,9,12,10,383,25.58746736,30.54830287,43.86422977
2023 Q2,35,106,31,78,88,7,9,11,365,26.30136986,29.04109589,44.65753425
2023 Q3,32,112,23,80,92,12,6,11,368,27.98913043,30.43478261,41.57608696
2023 Q4,30,86,19,59,92,9,8,7,310,24.19354839,27.74193548,48.06451613
2024 Q1,26,89,23,76,92,8,13,11,338,28.10650888,26.33136095,45.56213018
2024 Q2,33,92,13,71,81,6,11,8,315,26.98412698,29.20634921,43.80952381
2024 Q3,37,93,21,75,64,7,4,7,308,28.8961039,30.19480519,40.90909091
2024 Q4,16,39,14,44,54,2,8,3,180,27.22222222,21.66666667,51.11111111
2025 Q1,15,66,9,56,56,3,4,8,217,30.87557604,30.41474654,38.70967742
2025 Q2,37,96,41,67,67,14,6,4,332,25.60240964,28.91566265,45.48192771
2025 Q3,42,105,22,70,78,11,4,8,340,26.17647059,30.88235294,42.94117647
2025 Q4,29,85,18,55,82,7,8,1,285,22.10526316,29.8245614,48.07017544
