Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,93,441,26,560,16.60714286
2017 Q2,85,358,26,469,18.12366738
2017 Q3,106,357,13,476,22.26890756
2017 Q4,90,314,14,418,21.53110048
2018 Q1,89,354,28,471,18.89596603
2018 Q2,78,406,12,496,15.72580645
2018 Q3,113,396,20,529,21.3610586
2018 Q4,121,409,29,559,21.64579606
2019 Q1,101,386,26,513,19.68810916
2019 Q2,97,337,8,442,21.94570136
2019 Q3,105,393,25,523,20.07648184
2019 Q4,79,360,17,456,17.3245614
2020 Q1,84,391,9,484,17.3553719
2020 Q2,71,271,13,355,20
2020 Q3,105,392,20,517,20.30947776
2020 Q4,68,350,20,438,15.52511416
2021 Q1,84,339,24,447,18.79194631
2021 Q2,106,416,34,556,19.0647482
2021 Q3,92,395,16,503,18.29025845
2021 Q4,72,334,27,433,16.62817552
2022 Q1,103,357,20,480,21.45833333
2022 Q2,64,338,23,425,15.05882353
2022 Q3,64,323,20,407,15.72481572
2022 Q4,57,288,14,359,15.87743733
2023 Q1,64,284,21,369,17.34417344
2023 Q2,82,349,19,450,18.22222222
2023 Q3,98,337,28,463,21.1663067
2023 Q4,86,299,22,407,21.13022113
2024 Q1,73,309,15,397,18.38790932
2024 Q2,72,319,16,407,17.69041769
2024 Q3,75,357,22,454,16.51982379
2024 Q4,43,300,22,365,11.78082192
2025 Q1,58,339,16,413,14.04358354
2025 Q2,52,340,28,420,12.38095238
