Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,60,16,76,21.05263158
2017 Q2,52,21,73,28.76712329
2017 Q3,47,32,79,40.50632911
2017 Q4,43,20,63,31.74603175
2018 Q1,45,27,72,37.5
2018 Q2,33,20,53,37.73584906
2018 Q3,28,14,42,33.33333333
2018 Q4,24,15,39,38.46153846
2019 Q1,40,14,54,25.92592593
2019 Q2,57,33,90,36.66666667
2019 Q3,31,15,46,32.60869565
2019 Q4,32,28,60,46.66666667
2020 Q1,22,17,39,43.58974359
2020 Q2,20,9,29,31.03448276
2020 Q3,26,16,42,38.0952381
2020 Q4,40,19,59,32.20338983
2021 Q1,44,14,58,24.13793103
2021 Q2,34,15,49,30.6122449
2021 Q3,34,15,49,30.6122449
2021 Q4,45,17,62,27.41935484
2022 Q1,30,16,46,34.7826087
2022 Q2,24,16,40,40
2022 Q3,38,25,63,39.68253968
2022 Q4,38,16,54,29.62962963
2023 Q1,29,27,56,48.21428571
2023 Q2,26,39,65,60
2023 Q3,47,35,82,42.68292683
2023 Q4,46,54,100,54
2024 Q1,41,48,89,53.93258427
2024 Q2,67,33,100,33
2024 Q3,59,30,89,33.70786517
2024 Q4,30,20,50,40
2025 Q1,37,26,63,41.26984127
2025 Q2,75,46,121,38.01652893
2025 Q3,59,28,87,32.18390805
2025 Q4,10,4,14,28.57142857
