Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,11,10,3,9
2017 Q2,6,3,2,2
2017 Q3,4,8,5,5
2017 Q4,13,8,0,7
2018 Q1,5,5,2,5
2018 Q2,5,4,2,5
2018 Q3,3,0,3,7
2018 Q4,7,3,1,8
2019 Q1,11,5,2,8
2019 Q2,8,10,5,15
2019 Q3,9,2,3,13
2019 Q4,15,4,0,11
2020 Q1,13,0,0,7
2020 Q2,9,6,0,6
2020 Q3,7,4,3,10
2020 Q4,7,4,4,12
2021 Q1,7,5,2,14
2021 Q2,7,4,2,8
2021 Q3,6,2,2,5
2021 Q4,4,4,2,10
2022 Q1,13,8,1,8
2022 Q2,16,5,1,11
2022 Q3,8,4,4,10
2022 Q4,7,4,0,7
2023 Q1,7,2,3,6
2023 Q2,7,2,1,11
2023 Q3,8,2,2,8
2023 Q4,10,6,3,14
2024 Q1,17,3,3,6
2024 Q2,14,7,4,2
2024 Q3,8,8,6,5
2024 Q4,5,5,2,5
2025 Q1,4,4,1,7
