Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,2,6,0,14,0,1,0,2,25,68,24,8
2017 Q2,5,11,0,9,2,1,1,3,32,40.625,34.375,25
2017 Q3,5,8,3,8,6,1,0,0,31,29.03225806,25.80645161,45.16129032
2017 Q4,2,4,0,8,10,1,0,2,27,40.74074074,14.81481481,44.44444444
2018 Q1,4,9,1,13,1,1,0,0,29,48.27586207,31.03448276,20.68965517
2018 Q2,4,5,1,9,0,2,0,1,22,54.54545455,22.72727273,22.72727273
2018 Q3,2,3,1,8,3,1,0,0,18,50,16.66666667,33.33333333
2018 Q4,3,5,1,5,5,0,0,1,20,30,25,45
2019 Q1,4,3,5,10,3,0,2,0,27,37.03703704,11.11111111,51.85185185
2019 Q2,7,10,3,12,10,0,2,2,46,30.43478261,21.73913043,47.82608696
2019 Q3,5,2,3,8,3,1,1,1,24,41.66666667,8.333333333,50
2019 Q4,3,4,2,19,2,1,0,1,32,65.625,12.5,21.875
2020 Q1,0,5,3,10,5,0,0,0,23,43.47826087,21.73913043,34.7826087
2020 Q2,0,0,1,6,5,0,0,1,13,53.84615385,0,46.15384615
2020 Q3,1,5,2,7,3,0,0,2,20,45,25,30
2020 Q4,2,3,4,19,3,1,0,1,33,63.63636364,9.090909091,27.27272727
2021 Q1,5,3,5,12,9,1,2,1,38,36.84210526,7.894736842,55.26315789
2021 Q2,0,1,4,13,9,0,0,0,27,48.14814815,3.703703704,48.14814815
2021 Q3,3,5,2,10,2,1,1,1,25,48,20,32
2021 Q4,1,6,1,11,7,1,0,2,29,48.27586207,20.68965517,31.03448276
2022 Q1,4,2,4,10,3,0,0,0,23,43.47826087,8.695652174,47.82608696
2022 Q2,2,4,4,10,3,0,0,2,25,48,16,36
2022 Q3,6,5,4,11,6,1,0,2,35,40,14.28571429,45.71428571
2022 Q4,1,7,0,11,2,3,0,0,24,58.33333333,29.16666667,12.5
2023 Q1,4,6,1,11,4,1,0,1,28,46.42857143,21.42857143,32.14285714
2023 Q2,3,11,2,14,7,0,0,0,37,37.83783784,29.72972973,32.43243243
2023 Q3,3,3,1,16,5,0,0,4,32,62.5,9.375,28.125
2023 Q4,3,10,4,10,9,0,2,3,41,31.70731707,24.3902439,43.90243902
2024 Q1,3,11,1,15,5,1,0,0,36,44.44444444,30.55555556,25
2024 Q2,1,11,2,11,3,0,0,0,28,39.28571429,39.28571429,21.42857143
2024 Q3,4,12,1,10,3,0,2,0,32,31.25,37.5,31.25
2024 Q4,2,4,2,6,4,0,0,1,19,36.84210526,21.05263158,42.10526316
2025 Q1,2,8,3,8,4,0,0,1,26,34.61538462,30.76923077,34.61538462
2025 Q2,1,14,4,25,4,1,3,2,54,51.85185185,25.92592593,22.22222222
2025 Q3,1,10,3,14,4,0,2,1,35,42.85714286,28.57142857,28.57142857
2025 Q4,0,2,1,2,0,0,0,0,5,40,40,20
