Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,16,17,20,53
2017 Q2,25,10,13,48
2017 Q3,20,13,13,46
2017 Q4,34,18,22,74
2018 Q1,38,17,17,72
2018 Q2,33,12,28,73
2018 Q3,33,14,17,64
2018 Q4,33,17,16,66
2019 Q1,57,22,16,95
2019 Q2,38,20,17,75
2019 Q3,35,20,21,76
2019 Q4,31,27,13,71
2020 Q1,43,24,11,78
2020 Q2,29,13,11,53
2020 Q3,33,15,16,64
2020 Q4,35,9,16,60
2021 Q1,42,11,12,65
2021 Q2,55,13,17,85
2021 Q3,36,16,15,67
2021 Q4,46,15,9,70
2022 Q1,52,14,19,85
2022 Q2,47,16,15,78
2022 Q3,35,12,9,56
2022 Q4,31,7,15,53
2023 Q1,23,3,7,33
2023 Q2,37,10,8,55
2023 Q3,27,10,10,47
2023 Q4,32,11,7,50
2024 Q1,35,11,3,49
2024 Q2,30,10,4,44
2024 Q3,34,7,11,52
2024 Q4,15,5,4,24
2025 Q1,16,2,5,23
2025 Q2,21,10,7,38
2025 Q3,25,12,9,46
2025 Q4,19,10,11,40
