Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,129,66,143,338
2017 Q2,163,72,142,377
2017 Q3,116,65,131,312
2017 Q4,108,75,93,276
2018 Q1,169,83,148,400
2018 Q2,136,64,131,331
2018 Q3,156,77,122,355
2018 Q4,175,84,114,373
2019 Q1,176,74,101,351
2019 Q2,201,103,143,447
2019 Q3,146,75,124,345
2019 Q4,173,77,149,399
2020 Q1,156,78,119,353
2020 Q2,69,40,69,178
2020 Q3,111,48,99,258
2020 Q4,128,56,63,247
2021 Q1,150,56,77,283
2021 Q2,153,65,115,333
2021 Q3,152,62,94,308
2021 Q4,151,64,75,290
2022 Q1,153,83,86,322
2022 Q2,161,68,84,313
2022 Q3,198,97,89,384
2022 Q4,176,68,84,328
2023 Q1,166,83,105,354
2023 Q2,151,90,110,351
2023 Q3,167,71,90,328
2023 Q4,147,85,99,331
2024 Q1,171,62,99,332
2024 Q2,142,63,94,299
2024 Q3,148,64,94,306
2024 Q4,109,32,41,182
2025 Q1,92,47,45,184
2025 Q2,152,45,93,290
2025 Q3,147,49,90,286
2025 Q4,133,40,66,239
