Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,18.09090909,19.5
2017 Q2,21.0000,23.6667
2017 Q3,21.6000,16.4444
2017 Q4,21.8889,17.8000
2018 Q1,23.4444,24.7500
2018 Q2,21.8889,18.7000
2018 Q3,27.1250,20.6667
2018 Q4,28.0000,23.8750
2019 Q1,18.2000,18.7778
2019 Q2,19.8889,26.7778
2019 Q3,25.0000,19.3750
2019 Q4,23.6250,22.5714
2020 Q1,23.8571,22.5000
2020 Q2,18.7500,27.8000
2020 Q3,21.6250,17.4286
2020 Q4,16.3333,24.2000
2021 Q1,18.2000,24.4286
2021 Q2,19.6000,32.0000
2021 Q3,25.6250,21.8333
2021 Q4,23.7500,20.1111
2022 Q1,19.3750,22.3750
2022 Q2,15.1000,19.8889
2022 Q3,19.0000,26.3333
2022 Q4,13.4444,19.3333
2023 Q1,18.0000,25.2500
2023 Q2,14.7000,22.7143
2023 Q3,15.3333,18.0000
2023 Q4,17.8750,15.8889
2024 Q1,15.4444,17.2857
2024 Q2,13.2222,15.5556
2024 Q3,16.3636,13.7778
2024 Q4,20.2500,11.7143
2025 Q1,17.8750,12.5714
2025 Q2,20.5000,15.1250
2025 Q3,25.5714,22.0000
2025 Q4,21.1667,18.8571
