Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,192,9,0,201,4.47761194,66,88,154,42.85714286
2017 Q2,257,11,0,268,4.104477612,62,58,120,51.66666667
2017 Q3,222,10,1,233,4.291845494,66,100,166,39.75903614
2017 Q4,231,7,0,238,2.941176471,78,71,149,52.34899329
2018 Q1,234,17,0,251,6.772908367,73,70,143,51.04895105
2018 Q2,241,18,0,259,6.94980695,72,72,144,50
2018 Q3,297,26,2,325,8,69,78,147,46.93877551
2018 Q4,217,17,1,235,7.234042553,65,68,133,48.87218045
2019 Q1,271,20,2,293,6.825938567,78,69,147,53.06122449
2019 Q2,248,18,4,270,6.666666667,85,62,147,57.82312925
2019 Q3,299,22,7,328,6.707317073,93,95,188,49.46808511
2019 Q4,266,5,1,272,1.838235294,110,60,170,64.70588235
2020 Q1,238,20,0,258,7.751937984,87,76,163,53.37423313
2020 Q2,194,29,0,223,13.0044843,55,48,103,53.39805825
2020 Q3,210,25,1,236,10.59322034,61,65,126,48.41269841
2020 Q4,181,20,1,202,9.900990099,69,73,142,48.5915493
2021 Q1,209,21,0,230,9.130434783,54,70,124,43.5483871
2021 Q2,189,29,2,220,13.18181818,77,76,153,50.32679739
2021 Q3,189,22,1,212,10.37735849,80,65,145,55.17241379
2021 Q4,177,20,1,198,10.1010101,88,52,140,62.85714286
2022 Q1,191,25,0,216,11.57407407,72,57,129,55.81395349
2022 Q2,179,30,3,212,14.1509434,68,86,154,44.15584416
2022 Q3,160,38,2,200,19,75,67,142,52.81690141
2022 Q4,147,28,1,176,15.90909091,55,35,90,61.11111111
2023 Q1,126,25,1,152,16.44736842,49,60,109,44.95412844
2023 Q2,147,20,1,168,11.9047619,54,58,112,48.21428571
2023 Q3,157,15,0,172,8.720930233,44,54,98,44.89795918
2023 Q4,168,21,1,191,10.9947644,50,43,93,53.76344086
2024 Q1,175,26,0,201,12.93532338,55,44,99,55.55555556
2024 Q2,129,29,0,159,18.23899371,48,37,85,56.47058824
2024 Q3,170,21,7,199,10.55276382,48,38,86,55.81395349
2024 Q4,149,18,2,171,10.52631579,44,23,67,65.67164179
2025 Q1,151,15,0,166,9.036144578,40,30,70,57.14285714
