Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,192.0,9.0,0.0,201.0,4.47761194,66.0,88.0,154.0,42.85714286
2017 Q2,257.0,12.0,0.0,269.0,4.460966543,62.0,57.0,119.0,52.10084034
2017 Q3,224.0,10.0,1.0,235.0,4.255319149,67.0,100.0,167.0,40.11976048
2017 Q4,231.0,7.0,0.0,238.0,2.941176471,78.0,71.0,149.0,52.34899329
2018 Q1,234.0,17.0,0.0,251.0,6.772908367,73.0,70.0,143.0,51.04895105
2018 Q2,242.0,18.0,0.0,260.0,6.923076923,72.0,72.0,144.0,50.0
2018 Q3,297.0,26.0,2.0,325.0,8.0,69.0,79.0,148.0,46.62162162
2018 Q4,218.0,17.0,1.0,236.0,7.203389831,65.0,68.0,133.0,48.87218045
2019 Q1,271.0,20.0,2.0,293.0,6.825938567,78.0,69.0,147.0,53.06122449
2019 Q2,248.0,18.0,4.0,270.0,6.666666667,85.0,62.0,147.0,57.82312925
2019 Q3,299.0,22.0,7.0,328.0,6.707317073,93.0,94.0,187.0,49.73262032
2019 Q4,266.0,5.0,1.0,272.0,1.838235294,108.0,60.0,168.0,64.28571429
2020 Q1,238.0,20.0,0.0,258.0,7.751937984,86.0,77.0,163.0,52.7607362
2020 Q2,195.0,29.0,0.0,224.0,12.94642857,55.0,46.0,101.0,54.45544554
2020 Q3,212.0,25.0,1.0,238.0,10.50420168,60.0,64.0,124.0,48.38709677
2020 Q4,181.0,20.0,1.0,202.0,9.900990099,69.0,73.0,142.0,48.5915493
2021 Q1,209.0,21.0,0.0,230.0,9.130434783,54.0,67.0,121.0,44.62809917
2021 Q2,189.0,29.0,2.0,220.0,13.18181818,75.0,75.0,150.0,50.0
2021 Q3,190.0,22.0,1.0,213.0,10.3286385,81.0,64.0,145.0,55.86206897
2021 Q4,177.0,20.0,1.0,198.0,10.1010101,87.0,51.0,138.0,63.04347826
2022 Q1,191.0,25.0,0.0,216.0,11.57407407,72.0,60.0,132.0,54.54545455
2022 Q2,181.0,30.0,3.0,214.0,14.01869159,69.0,85.0,154.0,44.80519481
2022 Q3,161.0,38.0,2.0,201.0,18.90547264,72.0,68.0,140.0,51.42857143
2022 Q4,148.0,28.0,1.0,177.0,15.81920904,56.0,35.0,91.0,61.53846154
2023 Q1,125.0,25.0,1.0,151.0,16.55629139,53.0,65.0,118.0,44.91525424
