Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,252.0,103.0,203.0,558.0
2017 Q2,251.0,111.0,203.0,565.0
2017 Q3,253.0,103.0,183.0,539.0
2017 Q4,259.0,126.0,187.0,572.0
2018 Q1,274.0,103.0,198.0,575.0
2018 Q2,278.0,124.0,194.0,596.0
2018 Q3,322.0,154.0,188.0,664.0
2018 Q4,301.0,122.0,165.0,588.0
2019 Q1,363.0,169.0,195.0,727.0
2019 Q2,369.0,175.0,170.0,714.0
2019 Q3,348.0,124.0,132.0,604.0
2019 Q4,252.0,127.0,137.0,516.0
2020 Q1,363.0,142.0,143.0,648.0
2020 Q2,157.0,84.0,99.0,340.0
2020 Q3,196.0,91.0,111.0,398.0
2020 Q4,256.0,106.0,113.0,475.0
2021 Q1,259.0,109.0,133.0,501.0
2021 Q2,290.0,126.0,110.0,526.0
2021 Q3,351.0,139.0,136.0,626.0
2021 Q4,359.0,145.0,165.0,669.0
2022 Q1,401.0,126.0,122.0,649.0
2022 Q2,401.0,146.0,158.0,705.0
2022 Q3,380.0,131.0,154.0,665.0
2022 Q4,314.0,109.0,144.0,567.0
2023 Q1,266.0,123.0,156.0,545.0
