Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,23.0,224.0,247.0,9.311740891,90.68825911
2017 Q2,25.0,235.0,260.0,9.615384615,90.38461538
2017 Q3,19.0,235.0,254.0,7.480314961,92.51968504
2017 Q4,22.0,236.0,258.0,8.527131783,91.47286822
2018 Q1,21.0,200.0,221.0,9.502262443,90.49773756
2018 Q2,15.0,227.0,242.0,6.198347107,93.80165289
2018 Q3,16.0,289.0,305.0,5.245901639,94.75409836
2018 Q4,32.0,219.0,251.0,12.74900398,87.25099602
2019 Q1,15.0,215.0,230.0,6.52173913,93.47826087
2019 Q2,25.0,215.0,240.0,10.41666667,89.58333333
2019 Q3,29.0,264.0,293.0,9.897610922,90.10238908
2019 Q4,25.0,240.0,265.0,9.433962264,90.56603774
2020 Q1,17.0,210.0,227.0,7.488986784,92.51101322
2020 Q2,25.0,186.0,211.0,11.84834123,88.15165877
2020 Q3,28.0,252.0,280.0,10.0,90.0
2020 Q4,32.0,237.0,269.0,11.89591078,88.10408922
2021 Q1,27.0,217.0,244.0,11.06557377,88.93442623
2021 Q2,31.0,240.0,271.0,11.43911439,88.56088561
2021 Q3,31.0,224.0,255.0,12.15686275,87.84313725
2021 Q4,30.0,202.0,232.0,12.93103448,87.06896552
2022 Q1,16.0,189.0,205.0,7.804878049,92.19512195
2022 Q2,20.0,173.0,193.0,10.3626943,89.6373057
2022 Q3,24.0,238.0,262.0,9.160305344,90.83969466
2022 Q4,20.0,201.0,221.0,9.049773756,90.95022624
2023 Q1,18.0,246.0,264.0,6.818181818,93.18181818
