Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,22.7917,24.0
2017 Q2,24.5833,24.4783
2017 Q3,27.2381,26.6667
2017 Q4,23.9545,22.6842
2018 Q1,24.6957,28.2105
2018 Q2,25.0769,31.1053
2018 Q3,23.04,29.3182
2018 Q4,21.9231,22.9091
2019 Q1,24.4762,24.1
2019 Q2,27.0,28.7619
2019 Q3,22.8889,23.2174
2019 Q4,20.96,21.6538
2020 Q1,17.9615,23.8
2020 Q2,16.2273,16.2
2020 Q3,17.2083,17.2
2020 Q4,21.0455,20.0
2021 Q1,20.7273,20.8182
2021 Q2,25.0,20.5238
2021 Q3,30.3125,23.9474
2021 Q4,32.6923,31.6154
2022 Q1,33.5385,27.7059
2022 Q2,31.3846,30.9286
2022 Q3,31.6667,34.6923
2022 Q4,30.5833,31.0833
