Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,23.0,5.0,28.0
2017 Q2,25.0,11.0,36.0
2017 Q3,22.0,11.0,33.0
2017 Q4,18.0,5.0,23.0
2018 Q1,17.0,12.0,29.0
2018 Q2,15.0,5.0,20.0
2018 Q3,20.0,10.0,30.0
2018 Q4,30.0,11.0,41.0
2019 Q1,25.0,10.0,35.0
2019 Q2,31.0,10.0,41.0
2019 Q3,36.0,10.0,46.0
2019 Q4,39.0,6.0,45.0
2020 Q1,39.0,6.0,45.0
2020 Q2,11.0,7.0,18.0
2020 Q3,35.0,6.0,41.0
2020 Q4,19.0,6.0,25.0
2021 Q1,32.0,7.0,39.0
2021 Q2,30.0,11.0,41.0
2021 Q3,25.0,6.0,31.0
2021 Q4,31.0,7.0,38.0
2022 Q1,22.0,6.0,28.0
2022 Q2,16.0,1.0,17.0
2022 Q3,24.0,6.0,30.0
2022 Q4,28.0,8.0,36.0
2023 Q1,27.0,4.0,31.0
