Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,20,4,24
2017 Q2,16,7,23
2017 Q3,16,6,22
2017 Q4,10,1,11
2018 Q1,14,10,24
2018 Q2,11,3,14
2018 Q3,13,7,20
2018 Q4,21,7,28
2019 Q1,20,8,28
2019 Q2,21,7,28
2019 Q3,31,9,40
2019 Q4,34,3,37
2020 Q1,33,2,35
2020 Q2,8,6,14
2020 Q3,26,4,30
2020 Q4,12,5,17
2021 Q1,30,6,36
2021 Q2,27,8,35
2021 Q3,16,6,22
2021 Q4,24,4,28
2022 Q1,15,5,20
2022 Q2,12,0,12
2022 Q3,21,7,28
2022 Q4,22,7,29
2023 Q1,23,4,27
2023 Q2,21,4,25
2023 Q3,22,4,26
2023 Q4,22,5,27
2024 Q1,16,3,19
2024 Q2,16,7,23
2024 Q3,17,10,27
2024 Q4,8,3,11
2025 Q1,6,4,10
2025 Q2,20,8,28
2025 Q3,16,4,20
2025 Q4,9,5,14
