Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Second highest income quintile filed,Second lowest income quintile Filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,4,6,48,30,15,35,138,4.347826087,34.7826087
2017 Q2,9,8,57,31,17,40,162,4.938271605,35.18518519
2017 Q3,16,8,48,29,13,42,156,5.128205128,30.76923077
2017 Q4,12,10,74,27,15,53,191,5.235602094,38.7434555
2018 Q1,8,10,50,40,15,51,174,5.747126437,28.73563218
2018 Q2,17,10,54,44,24,48,197,5.076142132,27.41116751
2018 Q3,16,13,76,40,20,46,211,6.161137441,36.01895735
2018 Q4,6,11,65,38,20,50,190,5.789473684,34.21052632
2019 Q1,8,10,81,42,24,41,206,4.854368932,39.32038835
2019 Q2,14,12,66,36,20,41,189,6.349206349,34.92063492
2019 Q3,22,11,59,39,25,57,213,5.164319249,27.69953052
2019 Q4,9,15,53,39,20,47,183,8.196721311,28.96174863
2020 Q1,19,6,56,33,19,44,177,3.389830508,31.63841808
2020 Q2,36,9,70,51,17,50,233,3.862660944,30.04291845
2020 Q3,18,11,62,42,16,49,198,5.555555556,31.31313131
2020 Q4,20,10,53,40,17,49,189,5.291005291,28.04232804
2021 Q1,9,18,62,35,28,44,196,9.183673469,31.63265306
2021 Q2,11,18,62,32,19,48,190,9.473684211,32.63157895
2021 Q3,18,11,73,45,27,50,224,4.910714286,32.58928571
2021 Q4,9,12,78,48,15,49,211,5.687203791,36.96682464
2022 Q1,9,13,56,32,15,46,171,7.602339181,32.74853801
2022 Q2,13,12,65,29,27,59,205,5.853658537,31.70731707
2022 Q3,11,10,73,42,17,49,202,4.95049505,36.13861386
2022 Q4,13,17,79,35,16,55,215,7.906976744,36.74418605
2023 Q1,20,13,65,38,16,46,198,6.565656566,32.82828283
2023 Q2,18,10,64,39,31,48,210,4.761904762,30.47619048
2023 Q3,16,9,70,58,20,43,216,4.166666667,32.40740741
2023 Q4,23,15,65,45,10,44,202,7.425742574,32.17821782
2024 Q1,3,7,78,49,14,46,197,3.553299492,39.59390863
2024 Q2,11,6,73,42,23,47,202,2.97029703,36.13861386
2024 Q3,12,3,79,42,17,55,208,1.442307692,37.98076923
2024 Q4,15,11,59,48,17,41,191,5.759162304,30.89005236
2025 Q1,16,11,76,52,19,62,236,4.661016949,32.20338983
2025 Q2,16,13,54,47,23,32,185,7.027027027,29.18918919
