Filing Year,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,20.7,21.8
2017 Q2,27.6667,27.7143
2017 Q3,20.8182,28.0
2017 Q4,19.0909,29.2857
2018 Q1,19.1667,24.375
2018 Q2,19.4615,21.8
2018 Q3,25.25,24.2
2018 Q4,23.4,21.8
2019 Q1,24.5455,25.4444
2019 Q2,20.75,24.4444
2019 Q3,25.3333,29.1111
2019 Q4,22.6667,21.6364
2020 Q1,22.5,25.2
2020 Q2,20.3,17.75
2020 Q3,21.1,18.0
2020 Q4,18.0,21.8
2021 Q1,18.1667,19.1111
2021 Q2,17.2727,20.2727
2021 Q3,17.5455,20.6
2021 Q4,20.0,23.0
2022 Q1,20.0,19.8889
2022 Q2,22.0,24.0
2022 Q3,21.0,22.6667
2022 Q4,16.6667,18.5556
