Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,85,75,32,107
2017 Q2,93,91,32,134
2017 Q3,74,82,41,94
2017 Q4,88,65,42,126
2018 Q1,115,79,37,113
2018 Q2,85,62,31,125
2018 Q3,108,86,40,101
2018 Q4,109,80,53,143
2019 Q1,89,70,28,83
2019 Q2,110,88,37,120
2019 Q3,98,90,38,131
2019 Q4,99,72,65,113
2020 Q1,100,70,57,138
2020 Q2,46,32,28,76
2020 Q3,97,63,32,90
2020 Q4,95,49,34,68
2021 Q1,102,74,44,67
2021 Q2,64,79,43,94
2021 Q3,53,64,27,73
2021 Q4,74,72,44,75
2022 Q1,80,68,36,78
2022 Q2,81,86,52,113
2022 Q3,59,52,39,74
2022 Q4,70,54,38,78
2023 Q1,60,52,47,83
2023 Q2,78,78,33,75
2023 Q3,56,76,31,82
2023 Q4,63,76,34,72
2024 Q1,65,86,37,75
2024 Q2,73,68,44,81
2024 Q3,83,80,40,76
2024 Q4,59,54,27,32
2025 Q1,35,52,32,52
2025 Q2,66,86,34,85
2025 Q3,67,65,42,50
2025 Q4,58,48,19,48
