Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,305,963,62,1330,22.93233083
2017 Q2,240,947,76,1263,19.0023753
2017 Q3,261,1097,124,1482,17.61133603
2017 Q4,206,840,84,1130,18.2300885
2018 Q1,196,933,77,1206,16.25207297
2018 Q2,247,875,101,1223,20.19623876
2018 Q3,223,1048,132,1403,15.89451176
2018 Q4,269,867,67,1203,22.36076475
2019 Q1,225,814,88,1127,19.96450754
2019 Q2,248,854,73,1175,21.10638298
2019 Q3,261,1005,91,1357,19.23360354
2019 Q4,218,771,106,1095,19.9086758
2020 Q1,280,885,93,1258,22.25755167
2020 Q2,274,800,88,1162,23.58003442
2020 Q3,257,962,95,1314,19.5585997
2020 Q4,195,837,71,1103,17.67905712
2021 Q1,222,850,58,1130,19.6460177
2021 Q2,206,717,47,970,21.2371134
2021 Q3,242,985,90,1317,18.37509491
2021 Q4,206,676,53,935,22.03208556
2022 Q1,182,703,44,929,19.59095802
2022 Q2,184,753,60,997,18.4553661
2022 Q3,218,751,78,1047,20.82139446
2022 Q4,166,812,85,1063,15.61618062
2023 Q1,171,793,76,1040,16.44230769
2023 Q2,151,751,90,992,15.22177419
2023 Q3,205,739,92,1036,19.78764479
2023 Q4,149,747,120,1016,14.66535433
2024 Q1,159,713,103,975,16.30769231
2024 Q2,180,787,77,1044,17.24137931
2024 Q3,202,750,117,1069,18.89616464
2024 Q4,182,767,90,1039,17.51684312
2025 Q1,155,676,91,922,16.81127983
2025 Q2,169,721,95,985,17.15736041
2025 Q3,188,828,129,1145,16.41921397
2025 Q4,133,771,111,1015,13.10344828
