Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,23,16,12,51
2017 Q2,18,13,13,44
2017 Q3,24,15,14,53
2017 Q4,25,16,21,62
2018 Q1,20,16,27,63
2018 Q2,22,13,25,60
2018 Q3,12,14,18,44
2018 Q4,40,11,29,80
2019 Q1,17,26,27,70
2019 Q2,20,15,26,61
2019 Q3,20,11,26,57
2019 Q4,28,12,23,63
2020 Q1,15,14,22,51
2020 Q2,15,7,13,35
2020 Q3,19,15,13,47
2020 Q4,4,7,15,26
2021 Q1,9,10,12,31
2021 Q2,10,8,22,40
2021 Q3,16,12,31,59
2021 Q4,11,7,19,37
2022 Q1,18,7,14,39
2022 Q2,11,16,18,45
2022 Q3,19,6,14,39
2022 Q4,4,8,8,20
2023 Q1,20,5,19,44
2023 Q2,13,11,23,47
2023 Q3,18,10,10,38
2023 Q4,9,5,13,27
2024 Q1,11,8,10,29
2024 Q2,10,8,10,28
2024 Q3,10,8,5,23
2024 Q4,5,5,14,24
2025 Q1,6,2,13,21
2025 Q2,7,5,11,23
2025 Q3,10,9,12,31
2025 Q4,7,9,20,36
