Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,228.0,807.0,59.0,1094.0,20.84095064
2017 Q2,201.0,812.0,65.0,1078.0,18.64564007
2017 Q3,231.0,835.0,77.0,1143.0,20.20997375
2017 Q4,209.0,750.0,74.0,1033.0,20.23233301
2018 Q1,243.0,830.0,62.0,1135.0,21.40969163
2018 Q2,219.0,791.0,70.0,1080.0,20.27777778
2018 Q3,249.0,767.0,50.0,1066.0,23.35834897
2018 Q4,218.0,734.0,54.0,1006.0,21.66998012
2019 Q1,194.0,849.0,65.0,1108.0,17.50902527
2019 Q2,197.0,839.0,80.0,1116.0,17.65232975
2019 Q3,221.0,757.0,47.0,1025.0,21.56097561
2019 Q4,204.0,702.0,36.0,942.0,21.65605096
2020 Q1,196.0,755.0,45.0,996.0,19.67871486
2020 Q2,176.0,1541.0,71.0,1788.0,9.843400447
2020 Q3,196.0,1611.0,41.0,1848.0,10.60606061
2020 Q4,170.0,1082.0,52.0,1304.0,13.03680982
2021 Q1,204.0,1291.0,67.0,1562.0,13.06017926
2021 Q2,221.0,1237.0,53.0,1511.0,14.62607545
2021 Q3,243.0,1261.0,45.0,1549.0,15.68754035
2021 Q4,217.0,1203.0,42.0,1462.0,14.84268126
2022 Q1,191.0,1296.0,94.0,1581.0,12.08096142
2022 Q2,165.0,1227.0,68.0,1460.0,11.30136986
2022 Q3,169.0,1260.0,95.0,1524.0,11.08923885
2022 Q4,149.0,1275.0,139.0,1563.0,9.532949456
2023 Q1,187.0,1223.0,106.0,1516.0,12.33509235
