Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,246.0,660.0,31.0,937.0,26.25400213
2017 Q2,255.0,619.0,22.0,896.0,28.45982143
2017 Q3,322.0,595.0,29.0,946.0,34.03805497
2017 Q4,269.0,497.0,14.0,780.0,34.48717949
2018 Q1,240.0,548.0,15.0,803.0,29.8879203
2018 Q2,236.0,584.0,12.0,832.0,28.36538462
2018 Q3,193.0,556.0,20.0,769.0,25.09752926
2018 Q4,240.0,483.0,22.0,745.0,32.2147651
2019 Q1,252.0,556.0,23.0,831.0,30.32490975
2019 Q2,210.0,503.0,14.0,727.0,28.88583219
2019 Q3,257.0,492.0,20.0,769.0,33.42002601
2019 Q4,185.0,523.0,29.0,737.0,25.10176391
2020 Q1,174.0,465.0,25.0,664.0,26.20481928
2020 Q2,184.0,433.0,19.0,636.0,28.93081761
2020 Q3,167.0,569.0,30.0,766.0,21.80156658
2020 Q4,148.0,596.0,24.0,768.0,19.27083333
2021 Q1,144.0,898.0,26.0,1068.0,13.48314607
2021 Q2,220.0,715.0,22.0,957.0,22.98850575
2021 Q3,207.0,722.0,28.0,957.0,21.63009404
2021 Q4,151.0,607.0,30.0,788.0,19.16243655
2022 Q1,183.0,620.0,19.0,822.0,22.26277372
2022 Q2,174.0,454.0,24.0,652.0,26.68711656
2022 Q3,109.0,439.0,37.0,585.0,18.63247863
2022 Q4,153.0,609.0,36.0,798.0,19.17293233
2023 Q1,161.0,516.0,43.0,720.0,22.36111111
