Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of defendants detained pretrial
2017 Q1,352.0,108.0,460.0,23.47826087
2017 Q2,324.0,118.0,442.0,26.69683258
2017 Q3,353.0,137.0,490.0,27.95918367
2017 Q4,275.0,116.0,391.0,29.66751918
2018 Q1,318.0,120.0,438.0,27.39726027
2018 Q2,280.0,151.0,431.0,35.03480278
2018 Q3,305.0,134.0,439.0,30.523918
2018 Q4,303.0,99.0,402.0,24.62686567
2019 Q1,297.0,121.0,418.0,28.94736842
2019 Q2,256.0,120.0,376.0,31.91489362
2019 Q3,306.0,162.0,468.0,34.61538462
2019 Q4,290.0,148.0,438.0,33.78995434
2020 Q1,302.0,130.0,432.0,30.09259259
2020 Q2,169.0,72.0,241.0,29.87551867
2020 Q3,253.0,107.0,360.0,29.72222222
2020 Q4,239.0,110.0,349.0,31.51862464
2021 Q1,298.0,111.0,409.0,27.1393643
2021 Q2,273.0,134.0,407.0,32.92383292
2021 Q3,293.0,134.0,427.0,31.38173302
2021 Q4,247.0,109.0,356.0,30.61797753
2022 Q1,263.0,126.0,389.0,32.3907455
2022 Q2,263.0,149.0,412.0,36.16504854
2022 Q3,227.0,117.0,344.0,34.01162791
2022 Q4,212.0,95.0,307.0,30.94462541
2023 Q1,273.0,70.0,343.0,20.40816327
