Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of defendants detained pretrial
2017 Q1,352,108,460,23.47826087
2017 Q2,324,118,442,26.69683258
2017 Q3,353,137,490,27.95918367
2017 Q4,274,116,390,29.74358974
2018 Q1,319,120,439,27.33485194
2018 Q2,280,150,430,34.88372093
2018 Q3,305,134,439,30.523918
2018 Q4,302,98,400,24.5
2019 Q1,296,121,417,29.01678657
2019 Q2,256,120,376,31.91489362
2019 Q3,305,162,467,34.68950749
2019 Q4,287,148,435,34.02298851
2020 Q1,302,130,432,30.09259259
2020 Q2,169,71,240,29.58333333
2020 Q3,251,105,356,29.49438202
2020 Q4,237,110,347,31.70028818
2021 Q1,297,109,406,26.84729064
2021 Q2,273,132,405,32.59259259
2021 Q3,290,134,424,31.60377358
2021 Q4,243,101,344,29.36046512
2022 Q1,254,122,376,32.44680851
2022 Q2,260,141,401,35.16209476
2022 Q3,223,102,325,31.38461538
