Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,34,30,14,24
2017 Q2,46,26,7,15
2017 Q3,32,34,21,23
2017 Q4,25,17,15,25
2018 Q1,26,26,5,33
2018 Q2,31,20,15,33
2018 Q3,46,22,17,17
2018 Q4,32,33,9,18
2019 Q1,41,28,8,22
2019 Q2,36,23,11,21
2019 Q3,25,32,23,27
2019 Q4,29,30,13,9
2020 Q1,26,23,23,24
2020 Q2,17,20,8,9
2020 Q3,27,20,15,21
2020 Q4,33,31,19,17
2021 Q1,29,23,12,24
2021 Q2,25,21,20,24
2021 Q3,29,25,17,11
2021 Q4,33,17,15,11
2022 Q1,21,18,12,12
2022 Q2,25,27,22,28
2022 Q3,28,14,17,22
2022 Q4,23,5,9,14
2023 Q1,32,12,11,21
2023 Q2,18,27,11,12
2023 Q3,26,19,3,21
2023 Q4,19,12,4,12
2024 Q1,25,10,11,12
2024 Q2,31,12,7,8
2024 Q3,34,12,6,9
2024 Q4,18,7,5,7
2025 Q1,12,5,7,10
2025 Q2,22,6,4,6
