Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,6.0,19.0,29.0,54.0
2017 Q2,13.0,26.0,49.0,88.0
2017 Q3,16.0,14.0,28.0,58.0
2017 Q4,8.0,16.0,17.0,41.0
2018 Q1,12.0,34.0,27.0,73.0
2018 Q2,15.0,15.0,24.0,54.0
2018 Q3,14.0,22.0,36.0,72.0
2018 Q4,15.0,24.0,20.0,59.0
2019 Q1,11.0,25.0,29.0,65.0
2019 Q2,25.0,19.0,44.0,88.0
2019 Q3,15.0,14.0,17.0,46.0
2019 Q4,24.0,18.0,35.0,77.0
2020 Q1,17.0,17.0,25.0,59.0
2020 Q2,10.0,15.0,26.0,51.0
2020 Q3,15.0,13.0,20.0,48.0
2020 Q4,12.0,13.0,24.0,49.0
2021 Q1,18.0,14.0,25.0,57.0
2021 Q2,20.0,22.0,35.0,77.0
2021 Q3,22.0,15.0,23.0,60.0
2021 Q4,25.0,24.0,20.0,69.0
2022 Q1,27.0,16.0,24.0,67.0
2022 Q2,22.0,12.0,36.0,70.0
2022 Q3,15.0,12.0,27.0,54.0
2022 Q4,18.0,14.0,28.0,60.0
2023 Q1,18.0,8.0,28.0,54.0
