Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of sentenced defendants detained pretrial
2017 Q1,80.0,38.0,118.0,32.20338983
2017 Q2,62.0,34.0,96.0,35.41666667
2017 Q3,135.0,49.0,184.0,26.63043478
2017 Q4,136.0,34.0,170.0,20.0
2018 Q1,109.0,24.0,133.0,18.04511278
2018 Q2,166.0,21.0,187.0,11.22994652
2018 Q3,165.0,16.0,181.0,8.839779006
2018 Q4,70.0,9.0,79.0,11.39240506
2019 Q1,51.0,10.0,61.0,16.39344262
2019 Q2,192.0,21.0,213.0,9.85915493
2019 Q3,80.0,22.0,102.0,21.56862745
2019 Q4,74.0,20.0,94.0,21.27659574
2020 Q1,117.0,52.0,169.0,30.76923077
2020 Q2,112.0,42.0,154.0,27.27272727
2020 Q3,91.0,32.0,123.0,26.01626016
2020 Q4,60.0,30.0,90.0,33.33333333
2021 Q1,52.0,25.0,77.0,32.46753247
2021 Q2,84.0,42.0,126.0,33.33333333
2021 Q3,70.0,56.0,126.0,44.44444444
2021 Q4,98.0,68.0,166.0,40.96385542
2022 Q1,99.0,73.0,172.0,42.44186047
2022 Q2,82.0,60.0,142.0,42.25352113
2022 Q3,75.0,53.0,128.0,41.40625
2022 Q4,59.0,39.0,98.0,39.79591837
2023 Q1,39.0,15.0,54.0,27.77777778
