Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Actual Percent of felony defendants with new case filed within 1 year,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2021 Q1,1,4,5,20,31.42857143,8,35,43,18.60465116
2021 Q2,3,4,7,42.85714286,27.61904762,5,40,45,11.11111111
2021 Q3,1,4,5,20,24.28571429,15,32,47,31.91489362
2021 Q4,1,9,10,10,10,17,47,64,26.5625
2022 Q1,0,8,8,0,3.333333333,12,66,78,15.38461538
2022 Q2,0,5,5,0,2.777777778,11,41,52,21.15384615
2023 Q3,1,11,12,8.333333333,11.11111111,10,52,62,16.12903226
2022 Q4,2,6,8,25,15.87301587,12,51,63,19.04761905
2023 Q1,1,6,7,14.28571429,24.20634921,9,39,48,18.75
2023 Q2,2,4,6,33.33333333,24.20634921,7,29,36,19.44444444
2023 Q3,1,3,4,25,32.77777778,13,47,60,21.66666667
2023 Q4,4,6,10,40,21.66666667,13,34,47,27.65957447
2024 Q1,0,2,2,0,33.33333333,10,29,39,25.64102564
2024 Q2,3,2,5,60,20,16,49,65,24.61538462
2024 Q3,0,5,5,0,20,14,41,55,25.45454545
2024 Q4,0,1,1,0,0,9,43,52,17.30769231
