Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2021 Q1,1,4,4,7,6,0,0,0,22,31.81818182,18.18181818,50
2021 Q2,6,8,4,19,19,0,3,1,60,33.33333333,13.33333333,53.33333333
2021 Q3,7,11,9,17,18,2,1,0,65,29.23076923,16.92307692,53.84615385
2021 Q4,11,16,6,17,25,0,1,4,80,26.25,20,53.75
2022 Q1,9,12,12,19,23,0,2,4,81,28.39506173,14.81481481,56.79012346
2022 Q2,13,20,10,19,16,0,1,1,80,25,25,50
2022 Q3,6,5,6,22,9,2,3,1,54,46.2962963,9.259259259,44.44444444
2022 Q4,6,9,6,25,9,0,1,1,57,45.61403509,15.78947368,38.59649123
2023 Q1,4,6,2,23,8,0,0,0,43,53.48837209,13.95348837,32.55813953
2023 Q2,7,1,8,22,11,1,1,0,51,45.09803922,1.960784314,52.94117647
2023 Q3,7,0,3,18,12,2,1,0,43,46.51162791,0,53.48837209
2023 Q4,6,10,3,27,14,1,1,1,63,46.03174603,15.87301587,38.0952381
2024 Q1,4,1,4,21,7,0,1,0,38,55.26315789,2.631578947,42.10526316
2024 Q2,6,5,4,13,10,0,0,1,39,35.8974359,12.82051282,51.28205128
2024 Q3,4,6,1,20,13,0,1,1,46,45.65217391,13.04347826,41.30434783
2024 Q4,5,9,0,8,4,0,0,0,26,30.76923077,34.61538462,34.61538462
2025 Q1,8,6,5,11,7,1,1,1,40,32.5,15,52.5
2025 Q2,8,9,7,20,9,1,1,2,57,40.35087719,15.78947368,43.85964912
2025 Q3,12,10,7,15,16,0,1,0,61,24.59016393,16.39344262,59.01639344
2025 Q4,11,13,2,11,11,1,1,0,50,24,26,50
