Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,130.0,837.0,16.0,983.0,13.22482197
2017 Q2,160.0,637.0,32.0,829.0,19.30036188
2017 Q3,141.0,718.0,43.0,902.0,15.63192905
2017 Q4,156.0,625.0,44.0,825.0,18.90909091
2018 Q1,162.0,808.0,49.0,1019.0,15.89793916
2018 Q2,202.0,780.0,54.0,1036.0,19.4980695
2018 Q3,183.0,745.0,30.0,958.0,19.10229645
2018 Q4,159.0,714.0,30.0,903.0,17.60797342
2019 Q1,167.0,728.0,36.0,931.0,17.9377014
2019 Q2,144.0,694.0,35.0,873.0,16.49484536
2019 Q3,153.0,704.0,32.0,889.0,17.21034871
2019 Q4,120.0,639.0,43.0,802.0,14.96259352
2020 Q1,154.0,734.0,46.0,934.0,16.4882227
2020 Q2,117.0,425.0,41.0,583.0,20.06861063
2020 Q3,135.0,593.0,56.0,784.0,17.21938776
2020 Q4,133.0,543.0,46.0,722.0,18.42105263
2021 Q1,132.0,613.0,20.0,765.0,17.25490196
2021 Q2,144.0,650.0,54.0,848.0,16.98113208
2021 Q3,138.0,699.0,58.0,895.0,15.41899441
2021 Q4,130.0,612.0,64.0,806.0,16.12903226
2022 Q1,108.0,683.0,38.0,829.0,13.02774427
2022 Q2,88.0,652.0,73.0,813.0,10.82410824
2022 Q3,121.0,641.0,58.0,820.0,14.75609756
2022 Q4,103.0,500.0,57.0,660.0,15.60606061
2023 Q1,127.0,535.0,47.0,709.0,17.91255289
