Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,130.0,837.0,16.0
2017 Q2,160.0,637.0,32.0
2017 Q3,141.0,718.0,43.0
2017 Q4,156.0,625.0,44.0
2018 Q1,162.0,808.0,49.0
2018 Q2,202.0,780.0,54.0
2018 Q3,183.0,745.0,30.0
2018 Q4,159.0,714.0,30.0
2019 Q1,167.0,728.0,36.0
2019 Q2,144.0,694.0,35.0
2019 Q3,153.0,704.0,32.0
2019 Q4,120.0,639.0,43.0
2020 Q1,154.0,734.0,46.0
2020 Q2,117.0,425.0,41.0
2020 Q3,135.0,593.0,56.0
2020 Q4,133.0,543.0,46.0
2021 Q1,132.0,613.0,20.0
2021 Q2,144.0,650.0,54.0
2021 Q3,138.0,699.0,58.0
2021 Q4,130.0,612.0,64.0
2022 Q1,108.0,683.0,38.0
2022 Q2,88.0,652.0,73.0
2022 Q3,121.0,641.0,58.0
2022 Q4,103.0,500.0,57.0
2023 Q1,127.0,535.0,47.0
