Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,131,838,16,985,13.29949239
2017 Q2,160,637,33,830,19.27710843
2017 Q3,141,718,43,902,15.63192905
2017 Q4,156,625,44,825,18.90909091
2018 Q1,162,808,49,1019,15.89793916
2018 Q2,202,780,54,1036,19.4980695
2018 Q3,183,745,30,958,19.10229645
2018 Q4,159,714,30,903,17.60797342
2019 Q1,167,728,36,931,17.9377014
2019 Q2,144,694,35,873,16.49484536
2019 Q3,153,704,32,889,17.21034871
2019 Q4,120,639,43,802,14.96259352
2020 Q1,154,734,46,934,16.4882227
2020 Q2,117,425,41,583,20.06861063
2020 Q3,135,593,56,784,17.21938776
2020 Q4,133,543,46,722,18.42105263
2021 Q1,132,613,20,765,17.25490196
2021 Q2,144,651,54,849,16.96113074
2021 Q3,138,702,58,898,15.3674833
2021 Q4,130,613,64,807,16.10904585
2022 Q1,108,683,38,829,13.02774427
2022 Q2,89,651,73,813,10.94710947
2022 Q3,117,641,61,819,14.28571429
