Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,518,25,2,545,4.587155963,241,154,395,61.01265823
2017 Q2,549,25,0,574,4.355400697,258,188,446,57.84753363
2017 Q3,568,28,2,598,4.682274247,215,138,353,60.90651558
2017 Q4,506,35,3,544,6.433823529,202,182,384,52.60416667
2018 Q1,590,23,0,613,3.752039152,232,149,381,60.89238845
2018 Q2,612,41,0,653,6.278713629,305,163,468,65.17094017
2018 Q3,640,35,2,677,5.169867061,264,149,413,63.92251816
2018 Q4,528,37,1,566,6.537102473,299,161,460,65
2019 Q1,478,46,1,525,8.761904762,268,142,410,65.36585366
2019 Q2,492,40,1,533,7.504690432,295,157,452,65.26548673
2019 Q3,562,34,2,598,5.685618729,235,151,386,60.88082902
2019 Q4,447,24,4,475,5.052631579,217,141,358,60.61452514
2020 Q1,342,27,2,371,7.277628032,259,148,407,63.63636364
2020 Q2,354,22,0,376,5.85106383,75,78,153,49.01960784
2020 Q3,438,44,1,483,9.109730849,155,131,286,54.1958042
2020 Q4,484,33,1,518,6.370656371,149,111,260,57.30769231
2021 Q1,467,47,0,514,9.143968872,152,133,285,53.33333333
2021 Q2,421,38,1,460,8.260869565,163,138,301,54.15282392
2021 Q3,466,60,1,527,11.38519924,210,162,372,56.4516129
2021 Q4,471,70,2,543,12.89134438,155,112,267,58.05243446
2022 Q1,364,78,2,444,17.56756757,177,131,308,57.46753247
2022 Q2,457,56,6,520,10.76923077,178,151,329,54.10334347
2022 Q3,487,81,7,575,14.08695652,150,140,290,51.72413793
2022 Q4,420,53,3,476,11.13445378,166,162,328,50.6097561
2023 Q1,451,54,3,508,10.62992126,174,147,321,54.20560748
2023 Q2,463,54,6,524,10.30534351,153,160,313,48.88178914
2023 Q3,468,58,4,531,10.92278719,154,159,313,49.20127796
2023 Q4,424,57,6,489,11.65644172,150,169,319,47.02194357
2024 Q1,485,51,2,538,9.479553903,190,170,360,52.77777778
2024 Q2,408,48,0,456,10.52631579,180,162,342,52.63157895
2024 Q3,436,47,4,487,9.650924025,173,156,329,52.58358663
2024 Q4,426,71,3,502,14.14342629,90,99,189,47.61904762
2025 Q1,361,43,1,405,10.61728395,109,115,224,48.66071429
2025 Q2,374,41,2,417,9.832134293,120,178,298,40.26845638
2025 Q3,438,48,3,489,9.81595092,97,131,228,42.54385965
2025 Q4,375,42,3,420,10,101,120,221,45.70135747
