Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of sentenced defendants detained pretrial
2017 Q1,466,266,732,36.33879781
2017 Q2,474,352,826,42.61501211
2017 Q3,505,328,833,39.3757503
2017 Q4,489,281,770,36.49350649
2018 Q1,612,329,941,34.96280553
2018 Q2,602,394,996,39.55823293
2018 Q3,624,380,1004,37.84860558
2018 Q4,547,362,909,39.8239824
2019 Q1,627,316,943,33.51007423
2019 Q2,588,368,956,38.49372385
2019 Q3,581,333,914,36.43326039
2019 Q4,513,375,888,42.22972973
2020 Q1,492,349,841,41.49821641
2020 Q2,222,140,362,38.67403315
2020 Q3,335,198,533,37.14821764
2020 Q4,390,215,605,35.53719008
2021 Q1,442,238,680,35
2021 Q2,417,253,670,37.76119403
2021 Q3,547,276,823,33.53584447
2021 Q4,528,261,789,33.07984791
2022 Q1,517,362,879,41.18316268
2022 Q2,529,318,847,37.54427391
2022 Q3,519,349,868,40.20737327
2022 Q4,529,332,861,38.55981417
2023 Q1,545,310,855,36.25730994
2023 Q2,523,321,844,38.03317536
2023 Q3,456,323,779,41.46341463
2023 Q4,464,271,735,36.8707483
2024 Q1,489,224,713,31.41654979
2024 Q2,434,275,709,38.78702398
2024 Q3,399,234,633,36.96682464
2024 Q4,264,147,411,35.76642336
2025 Q1,359,169,528,32.00757576
2025 Q2,576,237,813,29.15129151
2025 Q3,474,214,688,31.10465116
2025 Q4,546,239,785,30.44585987
