Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,56,87,27,89
2017 Q2,58,80,41,102
2017 Q3,38,86,47,88
2017 Q4,46,65,32,87
2018 Q1,47,87,47,68
2018 Q2,45,83,55,116
2018 Q3,62,80,38,123
2018 Q4,39,65,34,119
2019 Q1,32,69,33,87
2019 Q2,47,64,52,118
2019 Q3,37,59,22,110
2019 Q4,47,82,41,89
2020 Q1,47,57,42,89
2020 Q2,19,34,14,67
2020 Q3,35,46,16,60
2020 Q4,24,46,28,55
2021 Q1,38,47,29,72
2021 Q2,33,58,37,76
2021 Q3,43,58,53,70
2021 Q4,30,56,49,65
2022 Q1,39,83,37,91
2022 Q2,35,75,40,72
2022 Q3,47,74,37,70
2022 Q4,44,59,26,62
2023 Q1,41,45,33,68
2023 Q2,33,53,33,72
2023 Q3,24,64,33,75
2023 Q4,45,67,29,80
2024 Q1,42,51,32,52
2024 Q2,42,51,30,76
2024 Q3,31,46,33,38
2024 Q4,19,34,21,35
2025 Q1,16,33,10,62
2025 Q2,29,53,37,45
2025 Q3,39,54,20,48
2025 Q4,39,37,23,54
