Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,55,31,34,60,51,6,7,3,247,27.93522267,12.55060729,59.51417004
2017 Q2,59,38,25,52,68,4,16,5,267,22.84644195,14.23220974,62.92134831
2017 Q3,71,38,32,56,45,4,17,8,271,25.09225092,14.02214022,60.88560886
2017 Q4,52,45,34,67,50,7,4,4,263,29.65779468,17.11026616,53.23193916
2018 Q1,62,43,34,64,46,4,10,6,269,27.50929368,15.98513011,56.50557621
2018 Q2,80,51,40,59,60,9,13,7,319,23.51097179,15.98746082,60.5015674
2018 Q3,76,37,41,52,58,3,20,4,291,20.27491409,12.71477663,67.01030928
2018 Q4,70,33,42,54,69,4,7,7,286,22.72727273,11.53846154,65.73426573
2019 Q1,66,44,29,53,61,2,8,1,264,21.21212121,16.66666667,62.12121212
2019 Q2,90,43,60,54,58,7,12,12,336,21.72619048,12.79761905,65.47619048
2019 Q3,69,49,38,60,64,3,5,9,297,24.24242424,16.4983165,59.25925926
2019 Q4,67,28,26,52,68,10,0,6,257,26.45914397,10.89494163,62.6459144
2020 Q1,65,43,42,53,65,4,7,5,284,21.83098592,15.14084507,63.02816901
2020 Q2,20,22,18,26,38,3,6,3,136,23.52941176,16.17647059,60.29411765
2020 Q3,26,33,24,39,34,2,5,9,172,29.06976744,19.18604651,51.74418605
2020 Q4,14,36,21,40,51,1,4,5,172,26.74418605,20.93023256,52.3255814
2021 Q1,26,31,17,55,51,5,5,10,200,35,15.5,49.5
2021 Q2,24,30,27,54,55,8,8,6,212,32.0754717,14.1509434,53.77358491
2021 Q3,36,45,25,56,80,3,8,5,258,24.80620155,17.44186047,57.75193798
2021 Q4,27,47,28,59,60,4,9,9,243,29.62962963,19.34156379,51.02880658
2022 Q1,39,66,40,55,59,1,9,12,281,24.19928826,23.48754448,52.31316726
2022 Q2,32,44,28,47,63,4,12,4,234,23.5042735,18.8034188,57.69230769
2022 Q3,30,29,27,35,56,3,7,11,198,24.74747475,14.64646465,60.60606061
2022 Q4,35,46,32,43,38,3,6,7,210,25.23809524,21.9047619,52.85714286
2023 Q1,36,48,19,62,56,8,8,8,245,31.83673469,19.59183673,48.57142857
2023 Q2,37,65,27,59,58,11,7,5,269,27.88104089,24.16356877,47.95539033
2023 Q3,35,69,27,58,67,2,7,6,271,24.35424354,25.46125461,50.18450185
2023 Q4,39,56,17,50,46,6,9,6,229,27.07423581,24.45414847,48.47161572
2024 Q1,31,44,15,48,47,12,7,0,204,29.41176471,21.56862745,49.01960784
2024 Q2,33,54,27,52,55,10,8,5,244,27.45901639,22.13114754,50.40983607
2024 Q3,21,39,16,39,29,8,0,2,154,31.81818182,25.32467532,42.85714286
2024 Q4,17,37,8,41,18,2,0,2,125,36,29.6,34.4
2025 Q1,35,42,13,38,31,5,3,4,171,27.48538012,24.56140351,47.95321637
2025 Q2,36,57,21,48,42,6,5,4,219,26.48401826,26.02739726,47.48858447
2025 Q3,31,61,21,39,33,5,3,1,194,23.19587629,31.44329897,45.36082474
2025 Q4,22,44,21,57,39,5,10,4,202,32.67326733,21.78217822,45.54455446
