Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,14.0,76.0,90.0,15.55555556,61.0,242.0,303.0,20.1320132
2017 Q2,12.0,69.0,81.0,14.81481481,85.0,307.0,392.0,21.68367347
2017 Q3,16.0,71.0,87.0,18.3908046,63.0,305.0,368.0,17.11956522
2017 Q4,22.0,47.0,69.0,31.88405797,57.0,257.0,314.0,18.15286624
2018 Q1,24.0,65.0,89.0,26.96629213,83.0,376.0,459.0,18.08278867
2018 Q2,20.0,68.0,88.0,22.72727273,89.0,381.0,470.0,18.93617021
2018 Q3,20.0,63.0,83.0,24.09638554,108.0,406.0,514.0,21.01167315
2018 Q4,11.0,57.0,68.0,16.17647059,87.0,327.0,414.0,21.01449275
2019 Q1,12.0,70.0,82.0,14.63414634,93.0,377.0,470.0,19.78723404
2019 Q2,11.0,59.0,70.0,15.71428571,112.0,339.0,451.0,24.83370288
2019 Q3,11.0,50.0,61.0,18.03278689,98.0,337.0,435.0,22.52873563
2019 Q4,14.0,70.0,84.0,16.66666667,78.0,347.0,425.0,18.35294118
2020 Q1,17.0,43.0,60.0,28.33333333,81.0,331.0,412.0,19.66019417
2020 Q2,7.0,27.0,34.0,20.58823529,22.0,122.0,144.0,15.27777778
2020 Q3,5.0,41.0,46.0,10.86956522,36.0,215.0,251.0,14.34262948
2020 Q4,9.0,39.0,48.0,18.75,38.0,254.0,292.0,13.01369863
2021 Q1,8.0,44.0,52.0,15.38461538,42.0,281.0,323.0,13.00309598
2021 Q2,12.0,48.0,60.0,20.0,58.0,267.0,325.0,17.84615385
2021 Q3,8.0,51.0,59.0,13.55932203,67.0,298.0,365.0,18.35616438
2021 Q4,8.0,47.0,55.0,14.54545455,68.0,301.0,369.0,18.42818428
2022 Q1,11.0,71.0,82.0,13.41463415,68.0,322.0,390.0,17.43589744
