Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,229,11,0,240,4.583333333,53,113,166,31.92771084
2017 Q2,203,10,0,213,4.694835681,57,111,168,33.92857143
2017 Q3,247,15,1,263,5.703422053,56,118,174,32.18390805
2017 Q4,268,20,1,289,6.920415225,50,85,135,37.03703704
2018 Q1,231,22,0,253,8.695652174,51,111,162,31.48148148
2018 Q2,270,17,0,287,5.923344948,51,101,152,33.55263158
2018 Q3,265,24,1,290,8.275862069,81,93,174,46.55172414
2018 Q4,213,22,1,236,9.322033898,67,81,148,45.27027027
2019 Q1,206,20,0,226,8.849557522,66,78,144,45.83333333
2019 Q2,250,27,1,278,9.712230216,63,92,155,40.64516129
2019 Q3,274,36,1,311,11.5755627,76,71,147,51.70068027
2019 Q4,281,18,0,299,6.02006689,62,85,147,42.17687075
2020 Q1,237,25,2,264,9.46969697,70,96,166,42.1686747
2020 Q2,229,20,1,250,8,36,95,131,27.48091603
2020 Q3,245,32,1,278,11.51079137,64,93,157,40.76433121
2020 Q4,186,23,0,209,11.00478469,56,88,144,38.88888889
2021 Q1,236,15,1,252,5.952380952,57,75,132,43.18181818
2021 Q2,217,30,0,247,12.14574899,69,80,149,46.30872483
2021 Q3,238,26,1,265,9.811320755,86,70,156,55.12820513
2021 Q4,196,22,1,219,10.0456621,56,53,109,51.37614679
2022 Q1,215,15,0,230,6.52173913,55,65,120,45.83333333
2022 Q2,182,16,0,198,8.080808081,77,59,136,56.61764706
2022 Q3,197,24,0,221,10.85972851,46,59,105,43.80952381
2022 Q4,172,18,0,191,9.42408377,62,51,113,54.86725664
2023 Q1,181,23,0,204,11.2745098,57,63,120,47.5
2023 Q2,189,18,1,208,8.653846154,65,38,103,63.10679612
2023 Q3,191,29,0,220,13.18181818,38,66,104,36.53846154
2023 Q4,132,25,2,159,15.72327044,54,50,104,51.92307692
2024 Q1,155,34,1,190,17.89473684,36,53,89,40.4494382
2024 Q2,137,32,3,172,18.60465116,43,65,108,39.81481481
