Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,1900.0,3250.0,25.0,5175.0,36.71497585
2017 Q2,1918.0,3093.0,46.0,5057.0,37.92762507
2017 Q3,2015.0,2829.0,35.0,4879.0,41.29944661
2017 Q4,1818.0,2806.0,47.0,4671.0,38.92100193
2018 Q1,1942.0,3169.0,50.0,5161.0,37.6283666
2018 Q2,2194.0,2947.0,57.0,5198.0,42.20854175
2018 Q3,2287.0,2839.0,64.0,5190.0,44.0655106
2018 Q4,2147.0,2750.0,43.0,4940.0,43.46153846
2019 Q1,2091.0,2880.0,31.0,5002.0,41.80327869
2019 Q2,2135.0,2390.0,33.0,4558.0,46.84071961
2019 Q3,2218.0,2176.0,32.0,4426.0,50.11296882
2019 Q4,2025.0,2241.0,24.0,4290.0,47.2027972
2020 Q1,1754.0,2477.0,30.0,4261.0,41.164046
2020 Q2,1274.0,1349.0,15.0,2638.0,48.29416224
2020 Q3,1484.0,1557.0,11.0,3052.0,48.62385321
2020 Q4,1444.0,1435.0,12.0,2891.0,49.94811484
2021 Q1,1548.0,1749.0,17.0,3314.0,46.71092336
2021 Q2,1512.0,1685.0,11.0,3208.0,47.13216958
2021 Q3,1495.0,1943.0,44.0,3482.0,42.93509477
2021 Q4,1338.0,1539.0,25.0,2902.0,46.1061337
2022 Q1,1340.0,1680.0,51.0,3071.0,43.63399544
2022 Q2,1292.0,1698.0,72.0,3062.0,42.19464402
2022 Q3,1381.0,1671.0,24.0,3076.0,44.89596879
2022 Q4,1305.0,1685.0,33.0,3023.0,43.16903738
2023 Q1,1467.0,1625.0,38.0,3130.0,46.86900958
