Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,1898,3250,25
2017 Q2,1914,3092,46
2017 Q3,2015,2830,35
2017 Q4,1815,2807,47
2018 Q1,1940,3170,50
2018 Q2,2193,2948,57
2018 Q3,2281,2840,64
2018 Q4,2141,2751,43
2019 Q1,2085,2883,32
2019 Q2,2135,2390,33
2019 Q3,2211,2176,32
2019 Q4,2023,2241,23
2020 Q1,1748,2478,29
2020 Q2,1273,1346,15
2020 Q3,1465,1558,11
2020 Q4,1430,1435,12
2021 Q1,1546,1747,17
2021 Q2,1511,1686,11
2021 Q3,1491,1943,44
2021 Q4,1341,1540,26
2022 Q1,1351,1686,51
2022 Q2,1318,1700,73
2022 Q3,1384,1676,27
2022 Q4,1305,1688,32
2023 Q1,1464,1780,38
2023 Q2,1429,1880,77
2023 Q3,1616,1981,56
2023 Q4,1419,1786,45
2024 Q1,1559,1928,49
2024 Q2,1538,1811,30
2024 Q3,1603,2118,66
2024 Q4,1522,1711,72
2025 Q1,1415,1782,84
2025 Q2,1514,1922,72
2025 Q3,1482,1793,78
2025 Q4,1211,1477,49
