Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,83,13,0,96,13.54166667,26,22,48,54.16666667
2017 Q2,80,5,0,85,5.882352941,23,15,38,60.52631579
2017 Q3,96,6,0,102,5.882352941,27,22,49,55.10204082
2017 Q4,84,2,0,86,2.325581395,25,19,44,56.81818182
2018 Q1,87,3,0,90,3.333333333,24,15,39,61.53846154
2018 Q2,76,16,0,92,17.39130435,12,13,25,48
2018 Q3,110,7,0,117,5.982905983,7,12,19,36.84210526
2018 Q4,108,11,0,119,9.243697479,6,12,18,33.33333333
2019 Q1,90,6,0,96,6.25,18,19,37,48.64864865
2019 Q2,90,5,0,95,5.263157895,29,35,64,45.3125
2019 Q3,100,14,0,114,12.28070175,7,24,31,22.58064516
2019 Q4,75,13,1,89,14.60674157,25,17,42,59.52380952
2020 Q1,78,21,0,99,21.21212121,15,11,26,57.69230769
2020 Q2,66,5,0,71,7.042253521,4,15,19,21.05263158
2020 Q3,97,15,3,115,13.04347826,10,19,29,34.48275862
2020 Q4,64,10,1,75,13.33333333,11,21,32,34.375
2021 Q1,80,7,0,87,8.045977011,17,25,42,40.47619048
2021 Q2,99,8,1,108,7.407407407,15,18,33,45.45454545
2021 Q3,89,23,0,112,20.53571429,16,11,27,59.25925926
2021 Q4,63,11,4,78,14.1025641,18,18,36,50
2022 Q1,99,18,0,117,15.38461538,13,19,32,40.625
2022 Q2,61,12,0,73,16.43835616,10,19,29,34.48275862
2022 Q3,60,13,0,73,17.80821918,25,24,49,51.02040816
2022 Q4,52,5,0,57,8.771929825,11,13,24,45.83333333
2023 Q1,61,9,0,70,12.85714286,15,14,29,51.72413793
2023 Q2,72,11,0,83,13.25301205,13,16,29,44.82758621
2023 Q3,89,10,0,99,10.1010101,11,13,24,45.83333333
2023 Q4,69,2,0,71,2.816901408,17,26,43,39.53488372
2024 Q1,67,6,0,73,8.219178082,19,15,34,55.88235294
2024 Q2,62,6,1,69,8.695652174,18,16,34,52.94117647
2024 Q3,69,6,0,75,8,15,23,38,39.47368421
2024 Q4,38,7,0,45,15.55555556,8,14,22,36.36363636
2025 Q1,54,6,0,60,10,11,13,24,45.83333333
