Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Second highest income quintile filed,Second lowest income quintile Filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,1,15,8,10,7,7,48,31.25,16.66666667
2017 Q2,3,15,7,7,10,2,44,34.09090909,15.90909091
2017 Q3,4,13,1,7,11,3,39,33.33333333,2.564102564
2017 Q4,1,29,4,11,13,0,58,50,6.896551724
2018 Q1,3,22,8,10,13,3,59,37.28813559,13.55932203
2018 Q2,5,19,4,6,10,2,46,41.30434783,8.695652174
2018 Q3,5,14,4,5,8,3,39,35.8974359,10.25641026
2018 Q4,2,15,5,3,13,4,42,35.71428571,11.9047619
2019 Q1,9,16,3,8,11,1,48,33.33333333,6.25
2019 Q2,4,23,2,5,10,1,45,51.11111111,4.444444444
2019 Q3,6,27,6,2,14,3,58,46.55172414,10.34482759
2019 Q4,2,25,3,12,8,3,53,47.16981132,5.660377358
2020 Q1,1,17,5,7,13,1,44,38.63636364,11.36363636
2020 Q2,4,16,0,4,10,3,37,43.24324324,0
2020 Q3,5,21,4,10,9,4,53,39.62264151,7.547169811
2020 Q4,5,23,2,7,25,4,66,34.84848485,3.03030303
2021 Q1,1,11,7,8,7,2,36,30.55555556,19.44444444
2021 Q2,1,23,5,4,6,2,41,56.09756098,12.19512195
2021 Q3,0,22,8,8,15,5,58,37.93103448,13.79310345
2021 Q4,4,32,2,7,12,4,61,52.45901639,3.278688525
2022 Q1,2,30,4,8,15,3,62,48.38709677,6.451612903
2022 Q2,4,20,3,2,12,3,44,45.45454545,6.818181818
2022 Q3,3,17,2,4,13,5,44,38.63636364,4.545454545
2022 Q4,4,13,0,6,5,4,32,40.625,0
2023 Q1,1,23,4,9,10,3,50,46,8
2023 Q2,6,20,2,9,7,8,52,38.46153846,3.846153846
2023 Q3,2,18,5,9,16,3,53,33.96226415,9.433962264
2023 Q4,9,15,9,6,17,6,62,24.19354839,14.51612903
2024 Q1,9,24,0,6,20,5,64,37.5,0
2024 Q2,4,20,5,1,14,3,47,42.55319149,10.63829787
2024 Q3,3,22,2,8,18,6,59,37.28813559,3.389830508
2024 Q4,8,30,5,9,12,8,72,41.66666667,6.944444444
2025 Q1,1,19,3,4,15,1,43,44.18604651,6.976744186
