Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,218.0,10.0,0.0,228.0,4.385964912,55.0,54.0,109.0,50.4587156
2017 Q2,190.0,13.0,0.0,203.0,6.403940887,66.0,88.0,154.0,42.85714286
2017 Q3,206.0,10.0,0.0,216.0,4.62962963,59.0,58.0,117.0,50.42735043
2017 Q4,200.0,8.0,0.0,208.0,3.846153846,79.0,41.0,120.0,65.83333333
2018 Q1,227.0,9.0,0.0,236.0,3.813559322,73.0,73.0,146.0,50.0
2018 Q2,210.0,15.0,0.0,225.0,6.666666667,68.0,54.0,122.0,55.73770492
2018 Q3,228.0,7.0,2.0,237.0,2.953586498,74.0,72.0,146.0,50.68493151
2018 Q4,201.0,18.0,0.0,219.0,8.219178082,63.0,59.0,122.0,51.63934426
2019 Q1,188.0,15.0,0.0,203.0,7.389162562,54.0,65.0,119.0,45.37815126
2019 Q2,186.0,17.0,0.0,203.0,8.374384236,99.0,88.0,187.0,52.94117647
2019 Q3,219.0,12.0,0.0,231.0,5.194805195,69.0,46.0,115.0,60.0
2019 Q4,198.0,8.0,0.0,206.0,3.883495146,62.0,77.0,139.0,44.60431655
2020 Q1,182.0,7.0,0.0,189.0,3.703703704,47.0,59.0,106.0,44.33962264
2020 Q2,169.0,9.0,0.0,178.0,5.056179775,37.0,51.0,88.0,42.04545455
2020 Q3,184.0,7.0,0.0,191.0,3.664921466,41.0,48.0,89.0,46.06741573
2020 Q4,163.0,8.0,0.0,171.0,4.678362573,40.0,49.0,89.0,44.94382022
2021 Q1,196.0,13.0,0.0,209.0,6.220095694,52.0,57.0,109.0,47.70642202
2021 Q2,212.0,6.0,0.0,218.0,2.752293578,69.0,77.0,146.0,47.26027397
2021 Q3,229.0,4.0,0.0,233.0,1.716738197,49.0,60.0,109.0,44.95412844
2021 Q4,203.0,19.0,0.0,222.0,8.558558559,65.0,69.0,134.0,48.50746269
2022 Q1,176.0,18.0,0.0,194.0,9.278350515,64.0,67.0,131.0,48.85496183
2022 Q2,152.0,19.0,0.0,171.0,11.11111111,52.0,70.0,122.0,42.62295082
2022 Q3,164.0,21.0,0.0,186.0,11.29032258,45.0,54.0,99.0,45.45454545
2022 Q4,142.0,12.0,3.0,157.0,7.643312102,60.0,59.0,119.0,50.42016807
2023 Q1,179.0,6.0,1.0,186.0,3.225806452,67.0,54.0,121.0,55.37190083
