Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2018 Q1,266,1745,124,2135,12.45901639
2018 Q2,213,971,70,1254,16.98564593
2018 Q3,178,1135,75,1388,12.82420749
2018 Q4,201,970,108,1279,15.71540266
2019 Q1,213,1030,74,1317,16.17312073
2019 Q2,216,905,75,1196,18.06020067
2019 Q3,252,1099,79,1430,17.62237762
2019 Q4,205,1119,92,1416,14.47740113
2020 Q1,198,986,50,1234,16.04538088
2020 Q2,164,662,61,887,18.48928974
2020 Q3,171,888,71,1130,15.13274336
2020 Q4,160,760,62,982,16.29327902
2021 Q1,196,839,32,1067,18.36925961
2021 Q2,180,830,35,1045,17.22488038
2021 Q3,130,1084,61,1275,10.19607843
2021 Q4,128,844,60,1032,12.40310078
2022 Q1,103,711,30,844,12.20379147
2022 Q2,117,697,65,879,13.3105802
2022 Q3,113,663,64,840,13.45238095
2022 Q4,131,680,70,881,14.86946652
2023 Q1,126,624,73,823,15.30984204
2023 Q2,131,744,81,956,13.70292887
2023 Q3,137,703,94,934,14.66809422
2023 Q4,102,647,59,808,12.62376238
2024 Q1,126,752,49,927,13.59223301
2024 Q2,142,704,84,930,15.2688172
2024 Q3,125,906,131,1162,10.75731497
2024 Q4,134,756,87,977,13.71545548
2025 Q1,111,755,88,954,11.63522013
2025 Q2,119,733,72,924,12.87878788
2025 Q3,115,832,118,1065,10.79812207
2025 Q4,122,800,80,1002,12.1756487
