Disposition Quarter,Average number of hearings per case
2017 Q1,7.6456
2017 Q2,8.029
2017 Q3,7.9788
2017 Q4,7.9027
2018 Q1,7.8922
2018 Q2,7.9522
2018 Q3,7.8338
2018 Q4,8.5478
2019 Q1,8.4279
2019 Q2,8.1466
2019 Q3,8.7405
2019 Q4,8.7201
2020 Q1,8.6486
2020 Q2,9.7053
2020 Q3,10.3563
2020 Q4,10.2326
2021 Q1,9.3808
2021 Q2,11.4397
2021 Q3,10.5758
2021 Q4,10.263
2022 Q1,10.0158
2022 Q2,11.5978
2022 Q3,11.8593
2022 Q4,10.2407
2023 Q1,10.3292
2023 Q2,10.6413
2023 Q3,10.6529
2023 Q4,11.2942
2024 Q1,10.3501
2024 Q2,10.7385
2024 Q3,10.2373
2024 Q4,9.9337
2025 Q1,10.375
2025 Q2,10.3333
2025 Q3,10.524
2025 Q4,10.3929
