Disposition Quarter,Average number of hearings per case
2018 Q1,9.4096
2018 Q2,8.8486
2018 Q3,9.2207
2018 Q4,9.966
2019 Q1,9.9452
2019 Q2,9.2374
2019 Q3,9.3822
2019 Q4,9.1615
2020 Q1,10.6926
2020 Q2,10.2938
2020 Q3,10.6885
2020 Q4,10.8074
2021 Q1,9.3893
2021 Q2,11.75
2021 Q3,12.4677
2021 Q4,11.8846
2022 Q1,13.0368
2022 Q2,13.125
2022 Q3,13.7266
2022 Q4,11.9286
2023 Q1,13.4595
2023 Q2,14.0916
2023 Q3,12.2815
2023 Q4,10.9541
2024 Q1,13.8362
2024 Q2,12.0404
2024 Q3,10.9435
2024 Q4,11.1299
2025 Q1,9.84
2025 Q2,11.4175
2025 Q3,9.9292
2025 Q4,13.3077
