Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2018 Q1,339,433,772,43.9119171,56.0880829
2018 Q2,603,229,832,72.47596154,27.52403846
2018 Q3,592,252,844,70.14218009,29.85781991
2018 Q4,673,245,918,73.31154684,26.68845316
2019 Q1,607,215,822,73.84428224,26.15571776
2019 Q2,724,206,930,77.84946237,22.15053763
2019 Q3,670,272,942,71.12526539,28.87473461
2019 Q4,682,281,963,70.82035306,29.17964694
2020 Q1,593,250,843,70.34400949,29.65599051
2020 Q2,406,70,476,85.29411765,14.70588235
2020 Q3,612,166,778,78.66323907,21.33676093
2020 Q4,509,149,658,77.3556231,22.6443769
2021 Q1,536,137,673,79.64338782,20.35661218
2021 Q2,629,137,766,82.11488251,17.88511749
2021 Q3,526,220,746,70.50938338,29.49061662
2021 Q4,647,197,844,76.65876777,23.34123223
2022 Q1,631,135,766,82.37597911,17.62402089
2022 Q2,593,149,742,79.91913747,20.08086253
2022 Q3,544,152,696,78.16091954,21.83908046
2022 Q4,529,188,717,73.77963738,26.22036262
2023 Q1,514,179,693,74.17027417,25.82972583
2023 Q2,551,191,742,74.25876011,25.74123989
2023 Q3,445,179,624,71.31410256,28.68589744
2023 Q4,495,196,691,71.63531114,28.36468886
2024 Q1,448,192,640,70,30
2024 Q2,488,154,642,76.01246106,23.98753894
2024 Q3,416,272,688,60.46511628,39.53488372
2024 Q4,313,117,430,72.79069767,27.20930233
2025 Q1,330,112,442,74.66063348,25.33936652
2025 Q2,504,214,718,70.19498607,29.80501393
2025 Q3,426,202,628,67.8343949,32.1656051
2025 Q4,426,247,673,63.2986627,36.7013373
