Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,128.0,84.0,212.0,60.37735849,39.62264151
2017 Q2,113.0,81.0,194.0,58.24742268,41.75257732
2017 Q3,125.0,91.0,216.0,57.87037037,42.12962963
2017 Q4,120.0,68.0,188.0,63.82978723,36.17021277
2018 Q1,119.0,74.0,193.0,61.65803109,38.34196891
2018 Q2,114.0,91.0,205.0,55.6097561,44.3902439
2018 Q3,127.0,114.0,241.0,52.69709544,47.30290456
2018 Q4,111.0,81.0,192.0,57.8125,42.1875
2019 Q1,119.0,99.0,218.0,54.58715596,45.41284404
2019 Q2,134.0,82.0,216.0,62.03703704,37.96296296
2019 Q3,141.0,108.0,249.0,56.62650602,43.37349398
2019 Q4,133.0,87.0,220.0,60.45454545,39.54545455
2020 Q1,159.0,61.0,220.0,72.27272727,27.72727273
2020 Q2,110.0,27.0,137.0,80.2919708,19.7080292
2020 Q3,109.0,62.0,171.0,63.74269006,36.25730994
2020 Q4,142.0,54.0,196.0,72.44897959,27.55102041
2021 Q1,130.0,41.0,171.0,76.02339181,23.97660819
2021 Q2,158.0,45.0,203.0,77.83251232,22.16748768
2021 Q3,148.0,48.0,196.0,75.51020408,24.48979592
2021 Q4,143.0,59.0,202.0,70.79207921,29.20792079
2022 Q1,123.0,49.0,172.0,71.51162791,28.48837209
2022 Q2,157.0,47.0,204.0,76.96078431,23.03921569
2022 Q3,130.0,52.0,182.0,71.42857143,28.57142857
2022 Q4,99.0,32.0,131.0,75.57251908,24.42748092
2023 Q1,127.0,37.0,164.0,77.43902439,22.56097561
