Disposition Quarter,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,427,555,982,43.48268839
2017 Q2,443,563,1006,44.03578529
2017 Q3,452,534,986,45.84178499
2017 Q4,449,564,1013,44.32379072
2018 Q1,552,576,1128,48.93617021
2018 Q2,579,596,1175,49.27659574
2018 Q3,607,662,1269,47.83293932
2018 Q4,571,583,1154,49.48006932
2019 Q1,575,726,1301,44.19677171
2019 Q2,662,709,1371,48.28592268
2019 Q3,679,604,1283,52.9228371
2019 Q4,581,511,1092,53.20512821
2020 Q1,610,647,1257,48.52824185
2020 Q2,325,340,665,48.87218045
2020 Q3,330,396,726,45.45454545
2020 Q4,358,473,831,43.08062575
2021 Q1,387,498,885,43.72881356
2021 Q2,371,527,898,41.31403118
2021 Q3,467,625,1092,42.76556777
2021 Q4,390,670,1060,36.79245283
2022 Q1,392,662,1054,37.19165085
2022 Q2,386,718,1104,34.96376812
2022 Q3,404,699,1103,36.62737987
2022 Q4,342,599,941,36.34431456
2023 Q1,342,719,1061,32.23374175
2023 Q2,329,670,999,32.93293293
2023 Q3,319,655,974,32.75154004
2023 Q4,303,605,908,33.37004405
2024 Q1,302,609,911,33.15038419
2024 Q2,359,688,1047,34.28844317
2024 Q3,330,657,987,33.43465046
2024 Q4,211,465,676,31.21301775
2025 Q1,216,433,649,33.28197227
2025 Q2,420,634,1054,39.84819734
2025 Q3,332,596,928,35.77586207
2025 Q4,288,491,779,36.97047497
