Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,224.8591,160.0000
2017 Q2,224.1842,160.0000
2017 Q3,222.7101,152.0000
2017 Q4,225.5237,153.0000
2018 Q1,230.2728,161.0000
2018 Q2,223.5958,156.0000
2018 Q3,218.2507,140.0000
2018 Q4,222.3381,148.5000
2019 Q1,230.6655,166.0000
2019 Q2,224.0423,159.0000
2019 Q3,219.7867,149.5000
2019 Q4,233.7148,161.0000
2020 Q1,236.1119,178.0000
2020 Q2,290.8892,218.5000
2020 Q3,313.2123,251.0000
2020 Q4,290.3500,247.0000
2021 Q1,294.1631,231.5000
2021 Q2,331.5341,259.5000
2021 Q3,304.5566,237.5000
2021 Q4,290.7832,230.5000
2022 Q1,304.8835,245.0000
2022 Q2,297.5677,229.0000
2022 Q3,290.4173,220.5000
2022 Q4,266.3780,205.0000
2023 Q1,270.8611,203.0000
2023 Q2,260.9896,199.0000
2023 Q3,247.8336,182.5000
2023 Q4,256.7716,185.5000
2024 Q1,261.4852,205.0000
2024 Q2,245.8440,195.0000
2024 Q3,244.1282,187.0000
2024 Q4,243.0545,193.0000
2025 Q1,255.4804,196.5000
2025 Q2,242.0618,192.0000
2025 Q3,246.1780,187.5000
2025 Q4,239.0722,181.0000
