Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total ,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,989.0,461.0,1450.0,68.20689655,31.79310345
2017 Q2,995.0,562.0,1557.0,63.90494541,36.09505459
2017 Q3,989.0,538.0,1527.0,64.76751801,35.23248199
2017 Q4,968.0,595.0,1563.0,61.9321817,38.0678183
2018 Q1,1220.0,588.0,1808.0,67.47787611,32.52212389
2018 Q2,1116.0,682.0,1798.0,62.06896552,37.93103448
2018 Q3,1094.0,750.0,1844.0,59.32754881,40.67245119
2018 Q4,995.0,630.0,1625.0,61.23076923,38.76923077
2019 Q1,1188.0,587.0,1775.0,66.92957746,33.07042254
2019 Q2,1298.0,658.0,1956.0,66.3599182,33.6400818
2019 Q3,1095.0,635.0,1730.0,63.29479769,36.70520231
2019 Q4,1063.0,546.0,1609.0,66.06587943,33.93412057
2020 Q1,1246.0,523.0,1769.0,70.43527417,29.56472583
2020 Q2,776.0,171.0,947.0,81.94297782,18.05702218
2020 Q3,902.0,150.0,1052.0,85.74144487,14.25855513
2020 Q4,967.0,227.0,1194.0,80.98827471,19.01172529
2021 Q1,1008.0,238.0,1246.0,80.8988764,19.1011236
2021 Q2,1066.0,199.0,1265.0,84.2687747,15.7312253
2021 Q3,1101.0,286.0,1387.0,79.37995674,20.62004326
2021 Q4,1097.0,312.0,1409.0,77.85663591,22.14336409
2022 Q1,1091.0,300.0,1391.0,78.43278217,21.56721783
2022 Q2,1058.0,337.0,1395.0,75.84229391,24.15770609
2022 Q3,1001.0,360.0,1361.0,73.54886113,26.45113887
2022 Q4,789.0,363.0,1152.0,68.48958333,31.51041667
2023 Q1,773.0,305.0,1078.0,71.70686456,28.29313544
