Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,18,24,27,31,22,2,5,6,135,28.88888889,17.77777778,53.33333333
2017 Q2,10,24,25,25,26,4,10,4,128,25.78125,18.75,55.46875
2017 Q3,9,28,23,39,29,2,13,1,144,29.16666667,19.44444444,51.38888889
2017 Q4,17,26,20,33,16,0,13,0,125,26.4,20.8,52.8
2018 Q1,22,20,20,32,19,3,9,3,128,29.6875,15.625,54.6875
2018 Q2,22,14,20,22,23,5,7,1,114,24.56140351,12.28070175,63.15789474
2018 Q3,25,11,21,40,18,5,10,1,131,35.11450382,8.396946565,56.48854962
2018 Q4,14,13,15,33,17,4,8,0,104,35.57692308,12.5,51.92307692
2019 Q1,17,18,23,27,11,4,9,3,112,30.35714286,16.07142857,53.57142857
2019 Q2,21,24,17,29,15,2,6,3,117,29.05982906,20.51282051,50.42735043
2019 Q3,14,19,17,31,21,6,9,6,123,34.95934959,15.44715447,49.59349593
2019 Q4,13,19,20,31,19,4,8,2,116,31.89655172,16.37931034,51.72413793
2020 Q1,18,31,32,39,17,6,11,3,157,30.57324841,19.74522293,49.68152866
2020 Q2,18,20,18,26,26,1,5,2,116,25,17.24137931,57.75862069
2020 Q3,13,12,28,35,19,2,6,5,120,35,10,55
2020 Q4,10,14,29,32,18,8,5,2,118,35.59322034,11.86440678,52.54237288
2021 Q1,5,12,9,20,23,5,5,5,84,35.71428571,14.28571429,50
2021 Q2,7,19,15,32,18,5,6,2,104,37.5,18.26923077,44.23076923
2021 Q3,5,17,14,25,12,6,1,5,85,42.35294118,20,37.64705882
2021 Q4,5,17,15,17,16,6,1,0,77,29.87012987,22.07792208,48.05194805
2022 Q1,10,14,11,19,12,4,5,2,77,32.46753247,18.18181818,49.35064935
2022 Q2,7,10,15,24,7,3,5,0,71,38.02816901,14.08450704,47.88732394
2022 Q3,5,7,10,18,21,4,0,3,68,36.76470588,10.29411765,52.94117647
2022 Q4,5,6,8,18,17,3,0,1,58,37.93103448,10.34482759,51.72413793
2023 Q1,6,9,11,16,16,5,0,3,66,36.36363636,13.63636364,50
2023 Q2,2,15,7,18,10,5,1,0,58,39.65517241,25.86206897,34.48275862
2023 Q3,6,5,15,12,14,5,1,2,60,31.66666667,8.333333333,60
2023 Q4,8,3,6,13,15,3,1,0,49,32.65306122,6.12244898,61.2244898
2024 Q1,6,10,8,20,8,2,0,1,55,41.81818182,18.18181818,40
