Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,1242.0,43.0,0.0,1285.0,3.346303502,480.0,483.0,963.0,49.84423676
2017 Q2,1178.0,41.0,1.0,1220.0,3.360655738,432.0,519.0,951.0,45.42586751
2017 Q3,1148.0,50.0,2.0,1200.0,4.166666667,386.0,459.0,845.0,45.68047337
2017 Q4,1193.0,43.0,4.0,1240.0,3.467741935,386.0,446.0,832.0,46.39423077
2018 Q1,1215.0,35.0,1.0,1251.0,2.797761791,379.0,552.0,931.0,40.70891515
2018 Q2,1298.0,46.0,2.0,1346.0,3.417533432,353.0,531.0,884.0,39.9321267
2018 Q3,1222.0,42.0,1.0,1265.0,3.320158103,333.0,527.0,860.0,38.72093023
2018 Q4,1221.0,43.0,1.0,1265.0,3.399209486,355.0,560.0,915.0,38.79781421
2019 Q1,1201.0,33.0,0.0,1234.0,2.674230146,381.0,533.0,914.0,41.68490153
2019 Q2,1315.0,40.0,1.0,1356.0,2.949852507,495.0,632.0,1127.0,43.92191659
2019 Q3,1375.0,55.0,2.0,1432.0,3.840782123,458.0,494.0,952.0,48.1092437
2019 Q4,1313.0,45.0,0.0,1358.0,3.313696613,441.0,517.0,958.0,46.03340292
2020 Q1,1222.0,50.0,1.0,1273.0,3.927729772,430.0,502.0,932.0,46.13733906
2020 Q2,1024.0,33.0,0.0,1057.0,3.122043519,182.0,241.0,423.0,43.02600473
2020 Q3,978.0,61.0,2.0,1041.0,5.85975024,283.0,365.0,648.0,43.67283951
2020 Q4,985.0,56.0,1.0,1042.0,5.37428023,284.0,345.0,629.0,45.15103339
2021 Q1,973.0,68.0,0.0,1041.0,6.532180596,257.0,397.0,654.0,39.29663609
2021 Q2,863.0,53.0,0.0,916.0,5.786026201,318.0,458.0,776.0,40.97938144
2021 Q3,978.0,70.0,0.0,1048.0,6.679389313,303.0,444.0,747.0,40.562249
2021 Q4,964.0,62.0,0.0,1026.0,6.04288499,257.0,405.0,662.0,38.82175227
2022 Q1,1021.0,76.0,0.0,1097.0,6.927985415,229.0,452.0,681.0,33.62701909
2022 Q2,960.0,54.0,2.0,1017.0,5.309734513,271.0,454.0,725.0,37.37931034
2022 Q3,928.0,46.0,3.0,979.0,4.698672114,253.0,489.0,742.0,34.09703504
2022 Q4,889.0,63.0,3.0,955.0,6.596858639,238.0,427.0,665.0,35.78947368
2023 Q1,905.0,46.0,3.0,954.0,4.821802935,201.0,427.0,628.0,32.00636943
