Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,23.5938,20.9655
2017 Q2,20.7273,24.0714
2017 Q3,21.7222,24.2000
2017 Q4,18.3333,22.3000
2018 Q1,19.9474,19.5938
2018 Q2,18.2750,19.9189
2018 Q3,21.0833,21.8065
2018 Q4,17.8718,20.4194
2019 Q1,19.8529,20.9697
2019 Q2,20.3889,21.4688
2019 Q3,21.1892,21.3438
2019 Q4,17.9189,21.0882
2020 Q1,18.5278,20.3030
2020 Q2,16.5000,16.7917
2020 Q3,15.6176,18.1290
2020 Q4,17.6129,17.2121
2021 Q1,15.8333,17.4231
2021 Q2,14.6364,18.8333
2021 Q3,15.9000,17.9667
2021 Q4,14.9655,17.4444
2022 Q1,14.9643,17.7097
2022 Q2,12.9714,17.9200
2022 Q3,14.9706,15.1000
2022 Q4,15.5625,14.7353
2023 Q1,17.3929,16.6333
2023 Q2,17.1429,16.4375
2023 Q3,18.2069,18.9231
2023 Q4,20.3077,16.0370
2024 Q1,21.0800,19.7083
2024 Q2,22.1200,18.1724
2024 Q3,21.3600,20.6087
2024 Q4,24.5833,14.8095
2025 Q1,21.1250,17.1176
2025 Q2,25.2273,21.4074
2025 Q3,29.7368,23.2174
2025 Q4,26.7778,26.8421
