Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,52.7674,55.5556
2017 Q2,53.2381,56.9737
2017 Q3,53.1395,55.3714
2017 Q4,60.6500,61.9697
2018 Q1,54.0256,57.9730
2018 Q2,53.1591,58.3333
2018 Q3,51.7174,56.4211
2018 Q4,48.9773,53.5405
2019 Q1,48.8085,53.6905
2019 Q2,50.6977,66.5429
2019 Q3,56.5000,57.4103
2019 Q4,48.3111,54.0789
2020 Q1,54.1951,46.1389
2020 Q2,41.4884,33.1786
2020 Q3,51.1591,49.5000
2020 Q4,42.9512,46.7179
2021 Q1,52.0000,47.7179
2021 Q2,52.8947,51.8611
2021 Q3,45.6591,57.3429
2021 Q4,49.8810,52.8158
2022 Q1,44.5909,50.8810
2022 Q2,44.2250,43.8293
2022 Q3,47.7073,48.1081
2022 Q4,45.2703,44.0833
2023 Q1,46.2162,46.7714
2023 Q2,55.9706,54.1667
2023 Q3,67.1212,58.0625
2023 Q4,69.0968,61.9091
2024 Q1,70.4138,67.3667
2024 Q2,78.8519,82.2963
2024 Q3,83.3571,66.9310
2024 Q4,92.5385,50.9231
2025 Q1,100.8333,61.3043
2025 Q2,99.6800,77.9643
2025 Q3,128.5455,103.0000
2025 Q4,168.0000,100.2609
