Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,830.0,2346.0,323.0,3499.0,23.72106316
2017 Q2,733.0,2304.0,327.0,3364.0,21.78953627
2017 Q3,843.0,2352.0,365.0,3560.0,23.67977528
2017 Q4,784.0,2517.0,345.0,3646.0,21.503017
2018 Q1,827.0,2198.0,311.0,3336.0,24.79016787
2018 Q2,808.0,2409.0,346.0,3563.0,22.67751894
2018 Q3,837.0,2450.0,364.0,3651.0,22.92522597
2018 Q4,763.0,2210.0,301.0,3274.0,23.3048259
2019 Q1,755.0,2339.0,269.0,3363.0,22.45019328
2019 Q2,812.0,2240.0,252.0,3304.0,24.57627119
2019 Q3,853.0,2545.0,395.0,3793.0,22.48879515
2019 Q4,724.0,2224.0,253.0,3201.0,22.6179319
2020 Q1,753.0,2268.0,194.0,3215.0,23.4214619
2020 Q2,672.0,1846.0,190.0,2708.0,24.81536189
2020 Q3,619.0,2332.0,339.0,3290.0,18.81458967
2020 Q4,628.0,1828.0,181.0,2637.0,23.81494122
2021 Q1,556.0,2252.0,135.0,2943.0,18.89228678
2021 Q2,550.0,2105.0,159.0,2814.0,19.54513149
2021 Q3,545.0,2095.0,245.0,2885.0,18.89081456
2021 Q4,508.0,2176.0,202.0,2886.0,17.6022176
2022 Q1,489.0,2032.0,173.0,2694.0,18.15144766
2022 Q2,526.0,1865.0,223.0,2614.0,20.12241775
2022 Q3,562.0,2008.0,275.0,2845.0,19.75395431
2022 Q4,544.0,1730.0,242.0,2516.0,21.62162162
2023 Q1,530.0,1745.0,206.0,2481.0,21.36235389
