Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,831,2344,323,3498,23.75643225
2017 Q2,734,2300,327,3361,21.83873847
2017 Q3,845,2351,365,3561,23.72928953
2017 Q4,783,2514,344,3641,21.50508102
2018 Q1,827,2194,310,3331,24.82737917
2018 Q2,808,2409,346,3563,22.67751894
2018 Q3,836,2449,364,3649,22.91038641
2018 Q4,763,2210,301,3274,23.3048259
2019 Q1,752,2339,269,3360,22.38095238
2019 Q2,810,2239,252,3301,24.53801878
2019 Q3,854,2544,395,3793,22.5151595
2019 Q4,723,2222,253,3198,22.60787992
2020 Q1,753,2267,194,3214,23.42874922
2020 Q2,672,1846,190,2708,24.81536189
2020 Q3,616,2333,337,3286,18.74619598
2020 Q4,630,1828,181,2639,23.87267905
2021 Q1,557,2254,135,2946,18.90699253
2021 Q2,549,2103,159,2811,19.53041622
2021 Q3,544,2096,245,2885,18.85615251
2021 Q4,508,2175,202,2885,17.60831889
2022 Q1,489,2033,172,2694,18.15144766
2022 Q2,527,1865,223,2615,20.15296367
2022 Q3,562,2007,273,2842,19.77480647
2022 Q4,542,1729,241,2512,21.57643312
2023 Q1,535,1762,211,2508,21.33173844
2023 Q2,509,1962,229,2700,18.85185185
2023 Q3,555,2254,282,3091,17.95535425
2023 Q4,546,2179,253,2978,18.33445265
2024 Q1,554,2086,253,2893,19.14967162
2024 Q2,567,2179,260,3006,18.86227545
2024 Q3,537,2379,330,3246,16.54343808
2024 Q4,581,2455,249,3285,17.68645358
2025 Q1,513,2452,236,3201,16.0262418
2025 Q2,548,2523,282,3353,16.34357292
2025 Q3,562,2856,339,3757,14.95874368
2025 Q4,491,2528,308,3327,14.75804028
