Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions
2017 Q1,212,151,177
2017 Q2,222,140,219
2017 Q3,213,132,150
2017 Q4,222,152,193
2018 Q1,257,155,182
2018 Q2,253,188,160
2018 Q3,256,159,157
2018 Q4,262,180,167
2019 Q1,286,176,181
2019 Q2,266,163,160
2019 Q3,247,140,145
2019 Q4,223,128,111
2020 Q1,207,122,122
2020 Q2,102,65,65
2020 Q3,163,98,76
2020 Q4,177,73,65
2021 Q1,210,99,86
2021 Q2,210,108,100
2021 Q3,237,81,70
2021 Q4,230,95,76
2022 Q1,223,95,71
2022 Q2,250,96,87
2022 Q3,241,76,79
2022 Q4,240,74,66
2023 Q1,225,85,81
2023 Q2,213,80,72
2023 Q3,180,69,70
2023 Q4,162,74,49
2024 Q1,174,62,81
2024 Q2,167,79,57
2024 Q3,178,69,78
2024 Q4,106,47,36
2025 Q1,121,52,54
2025 Q2,146,61,58
2025 Q3,149,71,44
2025 Q4,136,49,60
