Disposition Quarter,Average number of hearings per case
2017 Q1,6.6409
2017 Q2,6.8201
2017 Q3,7.2026
2017 Q4,6.7813
2018 Q1,7.4351
2018 Q2,7.3621
2018 Q3,7.7333
2018 Q4,8.0228
2019 Q1,7.6747
2019 Q2,8.1146
2019 Q3,8.1969
2019 Q4,8.0244
2020 Q1,8.3435
2020 Q2,8.9636
2020 Q3,9.2312
2020 Q4,9.7027
2021 Q1,9.2893
2021 Q2,11.2003
2021 Q3,11.0375
2021 Q4,9.8870
2022 Q1,10.1936
2022 Q2,10.7449
2022 Q3,9.9921
2022 Q4,9.3718
2023 Q1,9.7982
2023 Q2,9.7530
2023 Q3,9.4972
2023 Q4,8.7199
2024 Q1,9.6783
2024 Q2,9.1629
2024 Q3,9.3712
2024 Q4,8.9612
2025 Q1,9.1682
2025 Q2,9.6963
2025 Q3,9.5985
2025 Q4,9.3825
