Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total ,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,236.0,388.0,624.0,37.82051282,62.17948718
2017 Q2,249.0,455.0,704.0,35.36931818,64.63068182
2017 Q3,249.0,392.0,641.0,38.84555382,61.15444618
2017 Q4,271.0,430.0,701.0,38.65905849,61.34094151
2018 Q1,273.0,367.0,640.0,42.65625,57.34375
2018 Q2,320.0,448.0,768.0,41.66666667,58.33333333
2018 Q3,309.0,397.0,706.0,43.76770538,56.23229462
2018 Q4,282.0,380.0,662.0,42.59818731,57.40181269
2019 Q1,337.0,382.0,719.0,46.87065369,53.12934631
2019 Q2,329.0,373.0,702.0,46.86609687,53.13390313
2019 Q3,297.0,404.0,701.0,42.36804565,57.63195435
2019 Q4,331.0,381.0,712.0,46.48876404,53.51123596
2020 Q1,333.0,323.0,656.0,50.76219512,49.23780488
2020 Q2,255.0,165.0,420.0,60.71428571,39.28571429
2020 Q3,372.0,217.0,589.0,63.15789474,36.84210526
2020 Q4,364.0,221.0,585.0,62.22222222,37.77777778
2021 Q1,336.0,175.0,511.0,65.75342466,34.24657534
2021 Q2,372.0,207.0,579.0,64.24870466,35.75129534
2021 Q3,355.0,193.0,548.0,64.7810219,35.2189781
2021 Q4,313.0,184.0,497.0,62.9778672,37.0221328
2022 Q1,345.0,186.0,531.0,64.97175141,35.02824859
2022 Q2,318.0,167.0,485.0,65.56701031,34.43298969
2022 Q3,291.0,181.0,472.0,61.65254237,38.34745763
2022 Q4,283.0,211.0,494.0,57.28744939,42.71255061
2023 Q1,321.0,169.0,490.0,65.51020408,34.48979592
