Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,132.1492,86.0000
2017 Q2,127.3738,85.0000
2017 Q3,145.8940,95.0000
2017 Q4,138.8957,91.0000
2018 Q1,158.0164,104.0000
2018 Q2,160.4584,98.0000
2018 Q3,157.4291,103.0000
2018 Q4,170.5882,104.0000
2019 Q1,181.8950,115.0000
2019 Q2,190.0026,112.0000
2019 Q3,165.9800,105.5000
2019 Q4,187.2148,111.0000
2020 Q1,199.2390,127.0000
2020 Q2,242.4200,156.5000
2020 Q3,237.0984,176.0000
2020 Q4,232.5088,183.0000
2021 Q1,235.6968,182.0000
2021 Q2,256.7078,191.0000
2021 Q3,251.4932,181.0000
2021 Q4,247.0606,171.5000
2022 Q1,246.7907,183.0000
2022 Q2,268.7461,192.0000
2022 Q3,231.5100,159.5000
2022 Q4,229.4679,151.5000
2023 Q1,239.2681,181.5000
2023 Q2,220.1482,163.0000
2023 Q3,209.9191,164.0000
2023 Q4,187.5309,134.0000
2024 Q1,223.4597,159.5000
2024 Q2,216.5838,154.0000
2024 Q3,226.4083,187.5000
2024 Q4,208.4169,162.0000
2025 Q1,229.8889,171.0000
2025 Q2,234.9667,177.0000
2025 Q3,237.5795,175.0000
2025 Q4,228.6057,173.0000
