Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Second highest income quintile filed,Second lowest income quintile Filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,0,3,5,11,7,11,37,8.108108108,13.51351351
2017 Q2,10,3,2,4,8,5,32,9.375,6.25
2017 Q3,6,2,4,13,15,8,48,4.166666667,8.333333333
2017 Q4,7,4,10,5,9,5,40,10,25
2018 Q1,9,4,3,2,7,10,35,11.42857143,8.571428571
2018 Q2,4,3,8,6,10,11,42,7.142857143,19.04761905
2018 Q3,7,4,4,8,8,9,40,10,10
2018 Q4,9,1,4,4,6,6,30,3.333333333,13.33333333
2019 Q1,3,8,2,1,9,5,28,28.57142857,7.142857143
2019 Q2,7,4,4,5,10,8,38,10.52631579,10.52631579
2019 Q3,7,5,2,3,8,12,37,13.51351351,5.405405405
2019 Q4,3,4,7,6,10,6,36,11.11111111,19.44444444
2020 Q1,3,7,7,7,10,12,46,15.2173913,15.2173913
2020 Q2,10,4,9,2,5,17,47,8.510638298,19.14893617
2020 Q3,8,6,5,4,12,12,47,12.76595745,10.63829787
2020 Q4,2,7,4,7,6,13,39,17.94871795,10.25641026
2021 Q1,5,8,8,8,14,11,54,14.81481481,14.81481481
2021 Q2,2,9,4,6,16,17,54,16.66666667,7.407407407
2021 Q3,9,5,13,3,16,13,59,8.474576271,22.03389831
2021 Q4,14,3,4,6,10,10,47,6.382978723,8.510638298
2022 Q1,10,7,4,4,13,11,49,14.28571429,8.163265306
2022 Q2,7,3,3,1,4,13,31,9.677419355,9.677419355
2022 Q3,11,3,3,6,8,11,42,7.142857143,7.142857143
2022 Q4,7,7,6,1,7,14,42,16.66666667,14.28571429
2023 Q1,5,0,2,4,14,13,38,0,5.263157895
2023 Q2,7,4,4,1,7,10,33,12.12121212,12.12121212
2023 Q3,8,5,5,6,10,13,47,10.63829787,10.63829787
2023 Q4,9,11,4,2,6,7,39,28.20512821,10.25641026
2024 Q1,4,2,4,2,11,10,33,6.060606061,12.12121212
2024 Q2,11,6,8,5,8,16,54,11.11111111,14.81481481
2024 Q3,9,7,6,4,10,11,47,14.89361702,12.76595745
2024 Q4,7,5,3,16,12,12,55,9.090909091,5.454545455
2025 Q1,4,4,3,2,12,9,34,11.76470588,8.823529412
2025 Q2,9,1,3,3,9,9,34,2.941176471,8.823529412
2025 Q3,11,3,4,3,6,10,37,8.108108108,10.81081081
2025 Q4,6,4,3,4,7,9,33,12.12121212,9.090909091
