Filing Quarter,Actual Average number of days to victim contact,Average number of days to victim contact
2021 Q1,61.7711,38.52915
2021 Q2,15.2872,28.3562
2021 Q3,8.0103,10.5284
2021 Q4,8.2877,8.2782
2022 Q1,8.5366,8.516766667
2022 Q2,8.726,10.1505
2022 Q3,13.1889,9.9804
2022 Q4,8.0263,10.8384
2023 Q1,11.3,9.243166667
2023 Q2,8.4032,10.13296667
2023 Q3,10.6957,8.2293
2023 Q4,5.589,8.342366667
2024 Q1,8.7424,8.524133333
2024 Q2,11.241,9.5117
2024 Q3,8.5517,10.55286667
2024 Q4,11.8659,11.3696
2025 Q1,13.6912,12.61293333
2025 Q2,12.2817,12.13313333
2025 Q3,10.4265,9.300566667
2025 Q4,5.1935,7.81
